obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row
16236,archived,MACSJ0416.1-2403,64.03583,-24.07794,56900.8224421296,ACIS-I,NONE,40380,GO,Jones,56902,8106
16237,archived,MACSJ0416.1-2403,64.03583,-24.07794,56817.2051157407,ACIS-I,NONE,37080,GO,Jones,56818,8107
16523,archived,MACSJ0416.1-2403,64.03583,-24.07794,57008.8562615741,ACIS-I,NONE,72070,GO,Jones,57010,8108
17313,archived,MACSJ0416.1-2403,64.03583,-24.07794,56987.7554282407,ACIS-I,NONE,63600,GO,Jones,56989,8109
16304,archived,MCS J0416.1-2403,64.03750,-24.06783,56616.8403356482,ACIS-I,NONE,99080,GTO,Murray,56983,8111
