galaxy,n,sigma_kpc,ups_disk,ups_bul,a0_kms2_per_kpc,r_t_kpc,q_best_kms2,v_extra_asym_kms,chi2,chi2_red,gbar_inner_kms2_per_kpc,gbar_rt_kms2_per_kpc,gbar_half_rt_kms2_per_kpc,gbar_1kpc_kms2_per_kpc,gbar_2kpc_kms2_per_kpc,s_in_dlng_dlnr,vobs_outer_kms,outer_resid_mean_z,outer_resid_rms_z,outer_chi2
CamB,9,2.0,0.5,0.7,3702.813097789641,0.73,111.33125094166726,10.551362515887096,31.312897184756395,3.9141121480945493,65.5678125,191.71520547945198,137.96163303178415,180.94454746900726,nan,0.17103684400715574,14.7,-1.3582471400699834,1.736890518577875,6.0335773470514384
D512-2,4,2.0,0.5,0.7,3702.813097789641,1.92,1999.6314101092967,44.7172383998531,28.42568076978233,9.475226923260776,132.19546875,137.32166666666672,132.19546875,132.49199511639532,131.98909929878863,-0.98071907416151,35.9,nan,nan,0.0
D564-8,6,2.0,0.5,0.7,3702.813097789641,1.02,723.1871106457618,26.892138454309688,15.002745672408212,3.000549134481642,63.266078431372556,64.61441176470589,63.26607843137255,64.57549515508025,42.53572603558589,-0.8345507081684511,21.9,0.5532380311168439,1.0205491012341987,3.1245614040897927
