r_kpc,g_bar_total,g_bar_gas,g_bar_galaxies,g_resp_ground,g_resp_higher,g_resp_total,m_eff_bary_msun,m_eff_ground_msun,m_eff_full_msun,m_obs_analog_msun,closure_ground,closure_full,higher_mode_fraction,mean_activation,baryon_fraction_full,gas_mass_enclosed_msun,mode_1,mode_2,mode_3,mode_4,mode_5
89.9765662851472,1501.98095994418,364.9382423049602,1137.0427176392197,3400.3005564017917,975.9876297006227,4376.288186102414,2827248050758.871,9227790651803.926,11064937191756.34,17901925601172.656,0.5154635795827162,0.6180864247939639,0.22301722103220342,0.9975703970517664,0.25551415265739086,686940088935.8893,3400.3005564017917,579.7505747823715,191.80486527833096,114.14572071917672,90.28646892074356
137.2142635848495,953.4583149204416,444.4121412698142,509.0461736506274,2933.711744224646,781.5598825879781,3715.2716268126237,4173888890140.676,17016597023758.68,20437977969170.863,36000501081297.69,0.47267667150885373,0.5677137082902555,0.21036412975771782,0.9990639413195144,0.20422220321583034,1945472465929.9707,2933.711744224646,413.7444256443367,169.9372230797949,112.89985509257292,84.97837877127357
184.4519608845518,764.9052835783955,471.01792500971357,293.887358568682,2654.672547322116,583.9504877863867,3238.6230351085023,6050828850199.904,27050774310145.242,31670149459518.277,56982892139339.58,0.47471746860440694,0.5557834688712472,0.180308261089986,0.9994987276988726,0.19105779269953407,3726015378370.657,2654.672547322116,327.0329205005558,130.74454574216273,76.85756866161795,49.31545288205017
231.68965818425403,665.5432409036096,469.65732456599756,195.88591633761203,2476.5514751568853,430.50972796928795,2907.061203126173,8306732591231.447,39216896782242.23,44590145233100.74,79600131301643.6,0.49267377001716667,0.5601767799116688,0.14809104380270002,0.9996875660444433,0.1862907722728179,5861854744984.128,2476.5514751568853,264.837094352946,93.71463010566693,46.7536831568609,25.204320353814097
278.9273554839564,596.9132492399319,455.0909937562362,141.82225548369573,2341.927934850603,328.1362201451431,2670.064154995746,10797770495379.459,53161715992374.664,59097485722499.01,103071563828058.17,0.5157748075022702,0.573363627441262,0.12289450780843351,0.9997767637161973,0.18271116551526387,8232298598416.289,2341.927934850603,219.52037190278128,67.21212996623169,28.432195632171187,12.971522643958947
326.16505278365867,543.0191218805916,434.99518207716665,108.02393980342494,2231.660445945649,261.90934549264,2493.569791438289,13431689105825.031,68632266934279.87,75110648193459.23,126898871555280.16,0.5408422162712615,0.5918937439939271,0.10503389413519118,0.9998203273836928,0.17882536536270613,10759694848236.03,2231.660445945649,187.154421157017,49.71692918678598,18.000355538101367,7.037639610735663
373.4027500833609,498.39346399609366,413.1836864637965,85.20977753229714,2140.858209892209,218.88910665773616,2359.747316549945,16157271313068.54,85561124771928.83,92657226425003.39,150759697878270.78,0.5675331403291495,0.6146020967740227,0.09275955316171806,0.999841807204731,0.17437680725470678,13394880564448.434,2140.858209892209,164.37315141681387,38.36244751466753,12.05148234604892,4.102025380205849
420.64044738306325,460.5314030501183,391.49897344078636,69.03242960933193,2067.0535431217254,190.00550914679687,2257.0590522685225,18946193388899.25,103984468550629.39,111801266921835.6,174444344902985.62,0.5960896503034171,0.6408993480643471,0.08418278155187227,0.9998516570985768,0.16946313678310315,16106209507622.77,2067.0535431217254,148.22838087078668,30.754995452956887,8.473529043187597,2.548603779865709
467.87814468276554,427.9262893324595,370.79115578289475,57.13513354956473,2007.923688152889,169.53737649458316,2177.461064647472,21780865898107.215,123981449679753.23,132610671473781.78,197816833708586.34,0.6267487319223619,0.6703710143755361,0.07786011848713861,0.9998537167046686,0.1642467054577389,18872765337483.113,2007.923688152889,136.65052656650388,25.281530664910765,6.034712104618157,1.5706071585503405
515.1158419824677,399.5235655705177,351.4110591976492,48.11250637286849,1962.3873972107272,155.99236046431886,2118.379757675046,24648634725226.74,145718264433209.75,155342224180165.5,220790271889057.03,0.6599849856900871,0.7035736803577199,0.07363758074969656,0.9998493502636404,0.15867311579522203,21680330230830.996,1962.3873972107272,129.28971584872238,21.513243907902865,4.313153777163683,0.8762469305299235
562.3535392821701,374.5344772849751,333.45930934228835,41.075167942686704,1930.4025806334585,151.47944811737617,2081.8820287508347,27539200184972.203,169480052976482.1,180618207401820.78,243310896975740.53,0.6965575939386727,0.7423350521774182,0.07276082219138347,0.9998418707719953,0.15247189406384612,24518978172822.664,1930.4025806334585,127.25405806081343,20.095118087528782,3.571669290153804,0.5586026788801439
609.5912365818724,352.3508710944841,316.9135954464296,35.4372756480545,1910.0403609442542,157.27050688442895,2067.310867828683,30443419672400.53,195472557017307.72,209060864684326.22,265347528583996.38,0.7366662054869315,0.7878756806214139,0.0760749190321878,0.9998388572796455,0.1456198878655214,27381608440746.242,1910.0403609442542,130.88885888805427,21.49425917756539,4.1085855354861165,0.7788032833231738
656.8289338815746,332.4948131934369,301.69435816891183,30.800455024525082,1894.673656815404,168.66426565442896,2063.337922469833,33352629652760.812,223407771210239.84,240326521713437.4,286884474610753.44,0.7787377532833062,0.8377118421605556,0.08174340413059264,0.9998481965290039,0.138780478388191,30263029067106.383,1894.673656815404,137.4117134841223,24.498408837674287,5.417427744344514,1.3367155882878827
704.0666311812769,314.5835557570265,287.6988185532395,26.884737203786994,1874.8578164735977,176.66262573237952,2051.5204422059774,36258029286621.29,252348948134442.25,272710593047005.22,307916690105893.06,0.8195364403522882,0.8856635635866948,0.08611302237008964,0.9998705856603068,0.13295423870964831,33159368943259.55,1874.8578164735977,141.91182408224142,26.664851685947472,6.358653229487724,1.7272967347029164
751.3043284809793,298.30326975134676,274.818462560377,23.484807190969782,1843.9110939654847,175.67748077672562,2019.5885747422103,39149881398411.11,281148236623068.47,304204479159442.5,328446432666030.5,0.8559941855387555,0.9261920633151233,0.08698676699493109,0.999898954469205,0.12869594000255172,36067691193263.8,1843.9110939654847,141.1623691693436,26.515530089972586,6.302061518052069,1.6975199993573493
798.5420257806816,283.3891823232808,262.9477710804051,20.441411242875695,1800.7609965966851,166.55112119995061,1967.3121177966357,42016461784542.71,309004795553357.8,333698359230349.2,348480928281042.1,0.8867193882821396,0.9575799768337074,0.08465922600349035,0.9999255119323482,0.12591150247622016,38985732921615.87,1800.7609965966851,135.307539522749,24.366326035162462,5.48758450954833,1.389671132490811
845.7797230803839,269.612158814159,251.9882876924641,17.623871121694915,1748.1982576971493,153.04647193985886,1901.2447296370083,44843000809993.81,335610510074958.2,361065827429159.75,368030729248240.25,0.9119089342362651,0.9810752166447965,0.08049803876068021,0.999946500581888,0.12419619195004518,41911726232239.55,1748.1982576971493,126.31030032503797,21.28633141380452,4.423475826132814,1.0263643748835574
893.017420380086,256.7762451147578,241.85020954449644,14.92603557026132,1690.214207342585,138.38054795035967,1828.5947552929447,47611883325839.195,361014244980070.8,386672998968913.06,387108552069224.06,0.9325917576615901,0.998874855391381,0.07567589677801018,0.9999616692567987,0.12313216452350995,44844272701378.97,1690.214207342585,116.09945228256849,18.121764263273114,3.436482253669275,0.7228491508487795
940.2551176797883,244.74437282477874,232.45268308858624,12.291689736192502,1631.044770617292,124.32771129785789,1755.3724819151498,50308895430318.71,385581407970986.5,411137827326347.2,405728451907070.1,0.9503435269540865,1.0133325020561192,0.07082696839488656,0.9999721994608062,0.12236503694510509,47782253749193.11,1631.044770617292,105.90254234070909,15.283411787627522,2.6394815968876113,0.5022755726336589
