r_kpc,g_bar_total,g_bar_gas,g_bar_galaxies,g_resp_ground,g_resp_higher,g_resp_total,m_eff_bary_msun,m_eff_ground_msun,m_eff_full_msun,m_obs_analog_msun,closure_ground,closure_full,higher_mode_fraction,mean_activation,baryon_fraction_full,gas_mass_enclosed_msun,shell_directions,time_memory_enabled,memory_factor_mean,mode_1,memory_factor_mode_1,memory_factor_mode_2,memory_factor_mode_3,memory_factor_mode_4,memory_factor_mode_5,mode_2,mode_3,mode_4,mode_5
89.9765662851472,1409.2562952116684,364.9382423049603,1044.318052906708,2264.4430127296064,273.0455157650046,2537.488528494611,2652708136729.597,6915173683584.637,7429139854130.332,17901925601172.656,0.3862809977900736,0.4149911031718113,0.10760463060181456,0.997133072563692,0.3570680036740441,686940088935.8893,48,1,0.7772926569451185,2264.4430127296064,0.8156420438466037,0.789200674871646,0.7723212129661594,0.7597156173216567,0.7495837357195267,336.0921490895051,50.78883440720072,-29.241228817931983,-84.59423891376919
137.2142635848495,941.4745396363314,444.4121412698142,497.0623983665173,2136.6628469706275,531.9149195898156,2668.5777665604433,4121428341276.027,13474950335251.4,15803477695738.32,36000501081297.69,0.3742989661399923,0.43897938142722825,0.19932524592506293,0.9985958097064507,0.26079249267947147,1945472465929.9707,48,1,0.8181322565389465,2136.6628469706275,0.8502243353845322,0.8282529930134034,0.8140669709824961,0.803382197510979,0.794734785803322,276.48058307289796,96.871653520597,73.83152715134426,84.73115584497636
184.4519608845518,758.2069582073242,471.01792500971357,287.1890331976106,2043.2798304053488,561.3586323738301,2604.638462779179,5997841347990.88,22161328268892.906,26601989199074.867,56982892139339.58,0.388911960009016,0.46684168178100444,0.21552266865277495,0.9989729114944457,0.2254658966705943,3726015378370.6577,48,1,0.8427030423199005,2043.2798304053488,0.8707112279094301,0.85159839518546,0.8391952433023251,0.8298145635497782,0.8221957816525094,255.44624469755482,111.67264403621101,92.7404256871528,101.49931795291148
231.68965818425403,658.4932916593494,469.6573245659976,188.83596709335185,1994.808875135476,464.3142616082334,2459.1231367437094,8218741248889.344,33116212784875.508,38911380059413.69,79600131301643.6,0.41603213767804076,0.4888356265639758,0.18881293688410544,0.9991892531382024,0.21121690457496414,5861854744984.128,48,1,0.8594950946559333,1994.808875135476,0.884610886447817,0.8675000644306899,0.8563684531075597,0.847931047977869,0.8410650213157308,236.58483666797926,98.51915939433603,68.86868667653434,60.341578869383774
278.9273554839564,597.4691850707318,455.0909937562362,142.3781913144956,1973.0004163248236,407.61564116632593,2380.6160574911496,10807827011160.906,46498114854311.68,53871615357517.625,103071563828058.17,0.4511245694484549,0.522662248992216,0.17122275550636173,0.9994259030164693,0.20062192194228878,8232298598416.289,48,1,0.8718799386539784,1973.0004163248236,0.8948243331770007,0.879206646441681,0.8690332007045197,0.8613126524870214,0.855022860459669,223.71851887074658,87.08005834288087,54.33057589941394,42.48648805328454
326.16505278365867,541.9346355592452,434.99518207716665,106.93945348207853,1940.0341227526415,345.75205414260046,2285.786176895242,13404864114731.9,61392005159160.06,69944252974781.19,126898871555280.16,0.48378684858845455,0.5511810476920735,0.15126176614307452,0.9995626134223874,0.19165068671996688,10759694848236.03,48,1,0.8814911149954391,1940.0341227526415,0.9027343483145575,0.8882817719365308,0.8788605822666533,0.8717058469692537,0.8658730254902001,207.12469128218586,73.2092179173339,39.4128112471105,26.005333695970187
373.4027500833609,499.3308575516203,413.1836864637965,86.14717108782376,1917.0056255665286,298.2143201820316,2215.2199457485603,16187660399398.7,78334502680620.6,88002225130249.56,150759697878270.78,0.5195984323600257,0.5837251358868202,0.13462063699560087,0.9996573590995701,0.1839460351762675,13394880564448.432,48,1,0.8892262757790468,1917.0056255665286,0.9090930482178665,0.8955808336477348,0.88676906829674,0.8800742969683035,0.8746141317645886,192.21840444254244,61.09362417995476,28.621672809621334,16.280618749913074
420.64044738306325,462.84540451280304,391.49897344078636,71.34643107201666,1894.7059271134601,260.69797215087453,2155.4038992643345,19041391064722.996,96989310951260.34,107714386730570.05,174444344902985.62,0.5559899978712372,0.6174713590771523,0.12095086783495841,0.999723338887976,0.17677667433925914,16106209507622.771,48,1,0.89562399173392,1894.7059271134601,0.9143487122832954,0.9016154620603003,0.8933097097514894,0.8869977228281198,0.8818483517463951,178.25090647204658,51.00105749819301,20.998185000748183,10.447823179886786
467.87814468276554,430.33891342395765,370.79115578289475,59.54775764106296,1868.86086714065,231.04982974896512,2099.9106968896153,21903665181790.945,117026140580320.36,128786262552244.72,197816833708586.34,0.5915883819711587,0.6510379331112238,0.1100284074418954,0.9997698769570579,0.17007765228768315,18872765337483.113,48,1,0.901029137444614,1868.86086714065,0.9187871457138652,0.9067125718029094,0.898835336414658,0.8928480063233741,0.8879626269682634,165.36127943981475,42.92720915830678,15.765862750774318,6.995478400069282
515.1158419824677,401.38474408968585,351.4110591976492,49.97368489203665,1839.2632967954476,207.78385425248513,2047.0471510479326,24763460266022.824,138236939862873.78,151056179493846.88,220790271889057.03,0.6261006822453448,0.6841613908141286,0.10150418574682835,0.9998050542812921,0.16393543348573528,21680330230830.996,48,1,0.9056739516019056,1839.2632967954476,0.9226002446546547,0.9110919700780873,0.9035835135159891,0.897875872280413,0.8932181574803839,153.72919736130547,36.649672416333544,12.31438977599926,5.090594698846871
562.3535392821701,375.86576482854645,333.45930934228835,42.4064554862581,1810.1122684470593,188.28089797972305,1998.3931664267823,27637088620856.51,160733097510069.28,174577231107747.9,243310896975740.53,0.660607886896637,0.7175068329354531,0.09421614382137718,0.9998337287488108,0.1583086662876391,24518978172822.668,48,1,0.9097212219021902,1810.1122684470593,0.9259222483605132,0.9149075619080301,0.9077207413367534,0.9022572104923149,0.8977983474133389,143.20598023204292,31.49986038480378,9.767062541823153,3.807994821053185
609.5912365818724,354.1827838870684,316.9135954464296,37.26918844063882,1785.2975135063493,170.7116155286327,1956.0091290349822,30601698520341.645,184852946076340.06,199602577142522.5,265347528583996.38,0.6966446873004299,0.752230775269263,0.08727546972792254,0.9998559077139704,0.153313143339282,27381608440746.24,48,1,0.913288849226358,1785.2975135063493,0.9288502455986017,0.918270726641966,0.9113675959416186,0.9061194838932899,0.9018361940563139,133.6442309995372,26.896048637520025,7.521723986293639,2.64961190528185
656.8289338815746,336.41630468034026,301.69435816891183,34.72194651142844,1765.5269176280724,155.06652069663082,1920.5934383247031,33745995347680.844,210846398388770.34,226401156030442.25,286884474610753.44,0.7349522788740938,0.7891718655658334,0.08073885789794866,0.9998700998902686,0.14905398867814662,30263029067106.387,48,1,0.9164645798374039,1765.5269176280724,0.931456422707437,0.9212643092682928,0.9146138058237522,0.9095575932723938,0.9054307681151433,125.21059135065539,22.777309188533394,5.4994420561668855,1.579178101275144
704.0666311812769,319.2939893424613,287.6988185532395,31.595170789221793,1741.8909058038423,142.0122607209475,1883.9031665247899,36800940814473.99,237566461837180.3,253934401654913.16,307916690105893.06,0.7715283694283698,0.824685409444953,0.0753819321737834,0.9998762219675652,0.14492302175144045,33159368943259.55,48,1,0.9193152361004516,1741.8909058038423,0.9337957142994806,0.9239513730044865,0.9175276973389268,0.912643830080245,0.9086575657791196,117.57619217635838,19.529104290270457,4.046374834838,0.8605894194806523
751.3043284809793,303.11326410484634,274.818462560377,28.294801544469326,1715.8119692937648,133.5527889171143,1849.3647582108792,39781154091544.86,264967539597203.0,282495258454895.7,328446432666030.5,0.8067298446399208,0.8600953773857587,0.07221549363053535,0.9998794620956709,0.1408206081373804,36067691193263.8,48,1,0.9218927169619124,1715.8119692937648,0.9359107651704122,0.9263808819107234,0.920162333991269,0.9154343524304902,0.9115752513066673,111.58459792283425,17.685051135755838,3.5345741759357154,0.7485656825885013
798.5420257806816,288.35709635052984,262.9477710804051,25.4093252701247,1690.0569728368778,129.40894016437045,1819.4659130012483,42753025432327.57,293327919049454.3,312514628098890.7,348480928281042.1,0.8417330626854043,0.8967911949742472,0.07112468512856479,0.9998899323334487,0.1368032776334521,38985732921615.87,48,1,0.9242380230182923,1690.0569728368778,0.9378352528929584,0.9285915090333206,0.9225596341079836,0.9179735322642499,0.9142301867929488,107.25535694055598,17.09450730919391,3.8636438229066057,1.1954320917139458
845.7797230803839,274.95782364988435,251.98828769246407,22.96953595742026,1663.9419399290148,124.83600277041675,1788.7779426994316,45732113725422.9,322485766410098.94,343249002749187.25,368030729248240.25,0.8762468478347611,0.9326639746912615,0.06978842917865348,0.9999114994081449,0.13323305635017227,41911726232239.55,48,1,0.9263840307157567,1663.9419399290148,0.939596174804215,0.9306142590875528,0.9247532085426113,0.9202969531887906,0.9166595579556137,103.0536507903341,16.409235420946782,3.9711828680173893,1.4019336911184739
893.017420380086,262.64148717616354,241.85020954449644,20.79127763166711,1634.997499103493,117.1336890859091,1752.131188189402,48699426375550.24,351863413100895.4,373582538776991.2,387108552069224.06,0.9089528278826916,0.9650588621203747,0.06685212264667888,0.9999356635399858,0.13035787629416265,44844272701378.97,48,1,0.9283574501923028,1634.997499103493,0.9412154603626018,0.9324743182542881,0.9267703631282277,0.922433527037412,0.9188935821789842,97.81233861150199,14.85894131248131,3.3762488079619657,1.0861603539638396
940.2551176797883,251.4053289484912,232.45268308858624,18.95264585990496,1604.2701218428529,108.198564698554,1712.468686541407,51678100945551.15,381446899591472.44,403687861515558.06,405728451907070.1,0.9401531930988186,0.9949705514071775,0.06318279893168592,0.9999547394680025,0.12801499839885447,47782253749193.1,48,1,0.930180236069798,1604.2701218428529,0.9427111320772573,0.9341923864805963,0.9286335414846316,0.9244070195244435,0.9209571007820612,91.92855396536092,12.955519195625765,2.6046455945989906,0.7098459429683172
987.4928149794907,241.2175280386476,223.72344845985893,17.494079578788664,1573.4477578576239,99.6778212750491,1673.125579132673,54691194194689.49,411438639456638.44,434038568759387.25,423905235291585.56,0.9705910783895558,1.0239047141298725,0.05957581577751074,0.9999675627776607,0.12600537862571376,50724765588607.48,48,1,0.9318706230074728,1573.4477578576239,0.9440981571395324,0.93578565504881,0.930361383987959,0.9262371703910328,0.9228707484700299,86.07819427286532,11.185644329881685,1.968179220601548,0.4458034517005406
1034.730512279193,231.82276326358144,215.59818348329665,16.224579780284774,1542.2753132705152,92.07837028040903,1634.3536835509242,57710022669550.0,441644464820646.06,464566479731734.94,441654042856286.7,0.9999783132617135,1.0518786983750172,0.05633931700778034,0.9999759428591738,0.12422338930452924,53671071301087.68,48,1,0.9334438984700087,1542.2753132705152,0.9453890826418686,0.937268535854876,0.9319695179588213,0.927940529461649,0.9246518264328285,80.55518136251548,9.711824289700079,1.5196073540931585,0.29175727410031693
1081.968209578895,223.06706973727478,208.019737011893,15.04733272538177,1510.388041313827,85.30694160423309,1595.69498291806,60716274871635.984,471826420296737.06,495045982561134.06,458990054252693.56,1.0279665450811197,1.0785549228667821,0.05346068172015657,0.9999816643086805,0.12264774790721189,56620565043577.15,48,1,0.9349129880111174,1510.388041313827,0.9465945165062769,0.9386532136207039,0.9334711561045888,0.9295310899574424,0.926314963866575,75.39355324630172,8.502637365842856,1.2077350615959017,0.2030159304926132
1129.2059068785975,213.95674107153425,199.98865637993742,13.968084691596848,1477.9265248286003,79.17703774188602,1557.1035625704865,63432658287645.78,501599774472858.56,525073725114263.7,475928281340496.3,1.0539398353467377,1.103262289089744,0.05084892209171981,0.9999857938945799,0.12080714622283169,59291481250000.01,48,1,0.9362889045386146,1477.9265248286003,0.947723496539494,0.9399500696921599,0.9348775558622164,0.9310207746868073,0.9278726259123954,70.55871814735623,7.489186547027445,0.9807913814807678,0.1483416660215787
1176.4436041782997,197.24075978341295,184.2508156808593,12.989944102553709,1445.2164151450447,73.55499202400864,1518.7714071690534,63471614859444.445,528538874747110.6,552208699026148.8,492483425425257.4,1.07321149801279,1.121273672406983,0.04843058782698118,0.999988885977748,0.11494135273743462,59291481250000.01,48,1,0.9375810973924954,1445.2164151450447,0.9487837771228472,0.9411680112784452,0.9361983762916011,0.9324198138497224,0.9293355084198616,66.01720986897439,6.619390242249396,0.8067148483697631,0.11167706441509344
1223.6813014780018,182.41277242407116,170.3001370646686,12.112635359402562,1412.6746857545083,68.3765116781542,1481.0511974326625,63508601122471.92,555343640638363.8,579149520833082.6,508669781092984.9,1.0917566981177655,1.1385569624141167,0.0461675543672507,0.9999912367002538,0.10965838499031723,59291481250000.01,48,1,0.9387977266041284,1412.6746857545083,0.949782054414553,0.9423147300925457,0.9374419584649272,0.9337370418880463,0.9307128481605703,61.75939556311054,5.863173099842396,0.668456882376858,0.08548613282440741
1270.9189987777042,169.21564991825772,157.87592250722767,11.33972741103006,1380.7313449274973,63.61830270473845,1444.3496476322357,63550200530898.71,582094164353552.8,605986492848432.2,524501173986063.5,1.109805264933534,1.1553577435167646,0.044046331031429804,0.9999930305964365,0.10487065517282697,59291481250000.01,48,1,0.939945880573182,1380.7313449274973,0.9507241450651311,0.9433969076111384,0.9386155480022909,0.9349801331064813,0.9320126690808682,57.79132985676825,5.203861880930106,0.5569541591187951,0.06615680792129659
1318.1566960774064,157.43834621617683,146.76333260250487,10.675013613671936,1349.7567268141333,59.26868331645761,1409.025410130591,63604120914791.34,608897514304222.1,632841696841202.5,539990923287797.25,1.1276069430887452,1.171948767190516,0.042063601472569954,0.999994401712576,0.10050557861826759,59291481250000.01,48,1,0.9410317504567051,1349.7567268141333,0.9516151293766965,0.9444203795026063,0.9397254733486978,0.9361557904459896,0.9332419796095351,54.12020626669034,4.630160359880815,0.46661709923236094,0.05169959065409778
