galaxy,ra_deg,dec_deg,sparc_metric,coord_source,catalog_name
NGC3877,176.53242,47.4945,8511.870875011962,VizieR:J/AJ/152/157/table1,NGC3877
NGC3893,177.1592,48.71079,20779.43722419302,VizieR:J/AJ/152/157/table1,NGC3893
NGC3917,177.68953,51.82421,12839.298689427736,VizieR:J/AJ/152/157/table1,NGC3917
NGC3949,178.42395,47.85878,8598.26501,VizieR:J/AJ/152/157/table1,NGC3949
NGC3953,178.45428,52.32654,20134.54998401351,VizieR:J/AJ/152/157/table1,NGC3953
NGC3972,178.93799,55.32067,10572.12107,VizieR:J/AJ/152/157/table1,NGC3972
NGC3992,179.39993,53.37452,42706.92574788313,VizieR:J/AJ/152/157/table1,NGC3992
NGC4010,179.6583,47.26131,10101.16929,VizieR:J/AJ/152/157/table1,NGC4010
NGC4013,179.6309,43.94702,21938.85145956104,VizieR:J/AJ/152/157/table1,NGC4013
NGC4051,180.79036,44.53126,7300.648870000002,VizieR:J/AJ/152/157/table1,NGC4051
NGC4068,181.0136,52.59057,498.7843734903,VizieR:J/AJ/152/157/table1,NGC4068
NGC4085,181.3446,50.35275,4952.304729590413,VizieR:J/AJ/152/157/table1,NGC4085
NGC4088,181.39245,50.53903,10694.12258,VizieR:J/AJ/152/157/table1,NGC4088
NGC4100,181.53584,49.58231,19664.63963181818,VizieR:J/AJ/152/157/table1,NGC4100
NGC4138,182.37412,43.68532,15415.48332854512,VizieR:J/AJ/152/157/table1,NGC4138
NGC4157,182.76819,50.48468,21713.590661260463,VizieR:J/AJ/152/157/table1,NGC4157
NGC4183,183.32025,43.69827,9123.968283333332,VizieR:J/AJ/152/157/table1,NGC4183
NGC4214,183.91322,36.32689,5693.361574351553,VizieR:J/AJ/152/157/table1,NGC4214
NGC4217,183.96208,47.09179,13419.512406494638,VizieR:J/AJ/152/157/table1,NGC4217
NGC4389,186.39624,45.68467,-3351.160634140778,VizieR:J/AJ/152/157/table1,NGC4389
NGC4559,188.99037,27.95976,9865.799338746958,VizieR:J/AJ/152/157/table1,NGC4559
NGC5005,197.73463,37.05894,22891.55036206125,VizieR:J/AJ/152/157/table1,NGC5005
NGC5033,198.36473,36.59365,29281.974605916355,VizieR:J/AJ/152/157/table1,NGC5033
NGC5055,198.95554,42.02929,22339.77723260164,VizieR:J/AJ/152/157/table1,NGC5055
NGC5371,208.91676,40.46177,19553.257149187244,VizieR:J/AJ/152/157/table1,NGC5371
NGC5585,214.95085,56.72905,6420.6461642936765,VizieR:J/AJ/152/157/table1,NGC5585
