object_type,log_Mbar,M_bar_Msun,closure,log_closure
galaxy,7.694605198933568,49500000.0,0.12539173947547266,-0.9017310729023156
galaxy,8.386498965550652,243500000.0,1.0154414913465897,0.006654904877847978
galaxy,7.658011396657113,45500000.0,0.8495704855634165,-0.07080058357380287
galaxy,8.588831725594208,388000000.0,1.0583158586812682,0.02461530400349446
galaxy,8.461648568063454,289500000.0,1.622024729472576,0.2100574712016535
galaxy,8.47928731647617,301500000.00000006,1.032592988941317,0.01392917196586664
galaxy,9.218010042984364,1652000000.0,0.571802441330206,-0.24275399473883172
galaxy,8.706290957258764,508499999.99999994,1.121789697888426,0.04991144728808792
galaxy,9.002813779224674,1006500000.0,0.6877332050582736,-0.1625800065937884
galaxy,10.462495328858218,29006500000.0,0.8601209016568208,-0.06544049848671449
galaxy,9.509068045017163,3229000000.0,1.3871010886364774,0.14210811257813055
galaxy,8.231724383328517,170500000.0,3.407045481524302,0.5323779311150428
galaxy,11.254998571930873,179886500000.0,0.9051402801276079,-0.043284107906252506
galaxy,9.563540411189448,3660500000.0,0.12896251406750847,-0.8895365090764887
galaxy,9.61820504225927,4151500000.0000005,1.3148163441565968,0.11886509405037116
galaxy,9.139879086401237,1380000000.0,0.06223840866182496,-1.2059415201029349
galaxy,9.563718339965678,3662000000.0,1.9844251229883876,0.2976347166034947
galaxy,8.99056082999402,978499999.9999999,2.1923616137248443,0.34091218936192746
galaxy,9.546048866401735,3516000000.0,0.27496385473875135,-0.5607243924214776
galaxy,9.88218288763027,7624000000.000001,1.3045467673684603,0.11545965296171658
galaxy,9.867349617188793,7368000000.0,1.017721673145421,0.0076290232422119506
galaxy,9.643798000679235,4403500000.0,1.4475790060996383,0.16064227601035685
galaxy,9.836577274840648,6864000000.0,1.1947791233846692,0.07728762548377316
galaxy,9.330718078732588,2141500000.0000002,0.9696466676949267,-0.013386490708050277
galaxy,9.832029647089929,6792500000.0,0.7391539787416629,-0.1312650810205556
galaxy,9.496860487394368,3139500000.0,0.018431622041066874,-1.7344364438103768
galaxy,9.912168896059628,8169000000.000001,0.9772042909319194,-0.010014634694954328
galaxy,9.418135498425233,2619000000.0,0.758803497289136,-0.11987067613620424
galaxy,9.175656747281664,1498500000.0,0.7360212652766929,-0.1331096377563773
galaxy,9.188647295999717,1544000000.0,1.03618846026818,0.015438751365734128
galaxy,11.009453020521882,102200500000.0,0.8777775030771908,-0.05661555406137836
galaxy,8.19728055812562,157500000.0,0.7247301765881408,-0.13982365498796984
galaxy,9.418384164038612,2620500000.0,1.7245956493148304,0.2366872861592895
galaxy,9.588719779600057,3879000000.0,0.48911188637201014,-0.31059178284821726
galaxy,9.557025722386383,3606000000.0,0.7530888278224549,-0.12315379516993345
galaxy,9.733357787925586,5412000000.0,0.7561837718183744,-0.12137264710751654
galaxy,10.802783984095578,63501500000.0,0.6563987370152363,-0.1828322632494156
galaxy,9.379668034033655,2397000000.0000005,1.170627544598019,0.06841873874808117
galaxy,11.254030579043214,179486000000.0,0.4613416098510363,-0.3359773732396925
galaxy,10.867066596988549,73632000000.0,0.6706243070446717,-0.17352070944573253
galaxy,9.968015713993642,9290000000.0,0.7025146709559584,-0.15334460174503653
galaxy,10.651331328128492,44805500000.0,0.6179274284658913,-0.20906252696214114
galaxy,8.607990858547176,405500000.0,2.9092656806460906,0.46378338380114625
galaxy,8.883661435153618,765000000.0,0.8707556224295001,-0.06010371264093082
galaxy,9.914845399797294,8219500000.0,1.019676929137598,0.008462593215066413
galaxy,10.619234244674514,41613500000.0,0.8310358061060481,-0.08038026374986341
galaxy,11.01634585850564,103835500000.00002,1.589064748406409,0.20114159343313046
galaxy,10.638324493314698,43483500000.0,0.9039014147949038,-0.043878933844684935
galaxy,8.918292512755356,828500000.0,1.832951477956822,0.2631509684349272
galaxy,11.275679830102703,188660000000.00003,0.6123070436088186,-0.2130307446752452
galaxy,9.268928822432613,1857500000.0,1.018298584552686,0.007875140093437073
galaxy,10.995205074005485,98901999999.99998,0.7210545821894309,-0.14203185893319256
galaxy,8.758911892397974,574000000.0,1.4631845451240284,0.16529910526032301
galaxy,10.477244287394063,30008500000.0,0.6298204720474837,-0.20078322691199246
