seed,all_pass,failed_gate_count,failed_gates,closure_half_r500,closure_r500_ground,closure_r500_full,closure_outer,higher_mode_fraction_r500,baryon_fraction_r500,sigma_pred_r500,sigma_anchor,mean_eta_gas,mean_eta_galaxies,summary_json,summary_sha256
20260725,True,0,,0.7353494868134808,1.0625198467758794,1.1118183825348762,1.2580243593068574,0.050364777983971654,0.11961375998637833,819.634359644547,747.7300678465688,0.3703862818849091,0.3974145872653472,D:\#Documents\#Publication\Spacetime_Mechanics\repro_checks\results\irs_cluster_eigenmode_seed_sweep_shellavg_memory_calibrated_v2_64\seed_20260725\toy_cluster_summary.json,720d5267e2d54b67ae36815387881576c6367e1318bfae547da4917e482f3fb9
20260735,True,0,,0.691427644696682,1.0430512430371868,1.0922155626491261,1.2410399994949532,0.05126870312653986,0.12201046167710534,812.3766107617408,747.7300678465688,0.36974772018779817,0.39814827916766854,D:\#Documents\#Publication\Spacetime_Mechanics\repro_checks\results\irs_cluster_eigenmode_seed_sweep_shellavg_memory_calibrated_v2_64\seed_20260735\toy_cluster_summary.json,db1457f228306279afbbc32aa1dae8a34ccdf5ccc777614f7168279a49836ad2
20260745,True,0,,0.7178122076132689,1.0591026748366883,1.1084088770937732,1.2536366101649141,0.05057428662847526,0.12042719748502766,818.3766481395674,747.7300678465688,0.3699708449188323,0.3922191093617952,D:\#Documents\#Publication\Spacetime_Mechanics\repro_checks\results\irs_cluster_eigenmode_seed_sweep_shellavg_memory_calibrated_v2_64\seed_20260745\toy_cluster_summary.json,208ebd0b4b658393058bc07724816175bc7d5ddc1e05e8f2a667c5082cb268ac
20260755,True,0,,0.7250943217988087,1.0551546053323662,1.1043868195535282,1.2518984101090942,0.05069833836550857,0.12070535517987595,816.8904865495582,747.7300678465688,0.36987115479122523,0.3898659351015338,D:\#Documents\#Publication\Spacetime_Mechanics\repro_checks\results\irs_cluster_eigenmode_seed_sweep_shellavg_memory_calibrated_v2_64\seed_20260755\toy_cluster_summary.json,35fabfacdbb960df328db523fe98c50e4a154c965d98265914f0c6cf45f5f5e2
20260765,True,0,,0.7099166532824192,1.052999001941915,1.1023898102002054,1.2396172074295106,0.05100829114748213,0.12164481615595106,816.1515805574245,747.7300678465688,0.3698413445704,0.40115470468758274,D:\#Documents\#Publication\Spacetime_Mechanics\repro_checks\results\irs_cluster_eigenmode_seed_sweep_shellavg_memory_calibrated_v2_64\seed_20260765\toy_cluster_summary.json,1bfbd1278b73596c3fe7b8b5cd471703b3f6d6002156e7df2d5ccf95aa5e7ad4
20260775,True,0,,0.716583860954407,1.054088272409665,1.1034763267271894,1.2736299944760872,0.05091400367147016,0.12093366792625593,816.5536814212832,747.7300678465688,0.37028919765963714,0.3932377742337544,D:\#Documents\#Publication\Spacetime_Mechanics\repro_checks\results\irs_cluster_eigenmode_seed_sweep_shellavg_memory_calibrated_v2_64\seed_20260775\toy_cluster_summary.json,d365b848bd13d8082ce76c09a0ad9425e740573738c78302fdf04b8dea4ed5ac
20260785,True,0,,0.6920974875887368,1.0452213006569702,1.0944344067433656,1.2451692716031337,0.051190513268266805,0.12158133672638763,813.2013666838003,747.7300678465688,0.37001274722391664,0.3970439509732591,D:\#Documents\#Publication\Spacetime_Mechanics\repro_checks\results\irs_cluster_eigenmode_seed_sweep_shellavg_memory_calibrated_v2_64\seed_20260785\toy_cluster_summary.json,1f9cd70a816d1ef8525091f1b6dc2cad7f21b25e61c20d85214e54cb65ed1074
20260795,True,0,,0.6979966704649355,1.0488460600719771,1.098120802101007,1.2456939134380656,0.05107204024811835,0.12140033555785729,814.5697728677474,747.7300678465688,0.3700259690641716,0.39331547428915065,D:\#Documents\#Publication\Spacetime_Mechanics\repro_checks\results\irs_cluster_eigenmode_seed_sweep_shellavg_memory_calibrated_v2_64\seed_20260795\toy_cluster_summary.json,8de8a36a7cf3ccc5c74f236b7c8266b83c7fe1557aecc354dc2652e54e39b396
20260805,True,0,,0.7194924060305186,1.0462656140710502,1.095572220364388,1.2428996759393554,0.0512412004870989,0.12169611429481993,813.6239736597946,747.7300678465688,0.3703039224132507,0.40514367885268415,D:\#Documents\#Publication\Spacetime_Mechanics\repro_checks\results\irs_cluster_eigenmode_seed_sweep_shellavg_memory_calibrated_v2_64\seed_20260805\toy_cluster_summary.json,963bb92233bdbbfe09fd7da9d7b21fac1fef37f79d9c4b70729651160978fa35
20260815,True,0,,0.7048140341794928,1.0547077507922722,1.1040484142695774,1.2483992119758174,0.05084419870352988,0.1210271523917865,816.7653215113485,747.7300678465688,0.3700434381103274,0.3988600790351527,D:\#Documents\#Publication\Spacetime_Mechanics\repro_checks\results\irs_cluster_eigenmode_seed_sweep_shellavg_memory_calibrated_v2_64\seed_20260815\toy_cluster_summary.json,c3f0e640057f70fe5c33294535c7d00c068d1ac3310c2467832e62bd1c291c9c
