r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar,gextra,gtot
0.51,8.54,1.53,5.680290485529768,5.680290485529768,63.266078431372556,0.0,63.266078431372556
1.02,15.1,1.41,8.11829415579406,11.832507264326487,64.61441176470588,72.64855701994027,137.26296878464615
1.53,19.8,1.8,9.028269490882513,16.674796018502295,53.27428104575163,128.45697533245752,181.73125637820914
2.04,21.9,1.82,9.238011149592753,21.025520580715856,41.83375,174.86846357358135,216.70221357358136
2.56,24.0,1.89,9.114655780664457,24.984297311727225,32.45193359375,211.3820945940548,243.8340281878048
3.07,25.0,2.05,8.878223358307675,28.31978037778121,25.675195439739415,235.56583408656735,261.24102952630676
