r_kpc,g_bar_total,g_bar_gas,g_bar_galaxies,g_resp_ground,g_resp_higher,g_resp_total,m_eff_bary_msun,m_eff_ground_msun,m_eff_full_msun,m_obs_analog_msun,closure_ground,closure_full,higher_mode_fraction,mean_activation,baryon_fraction_full,gas_mass_enclosed_msun,mode_1,mode_2,mode_3,mode_4,mode_5
89.9765662851472,1503.0574454059188,364.9382423049602,1138.1192031009584,3343.703024236302,962.1632397449579,4305.86626398126,2829274369004.266,9123280824279.143,10934405077266.926,17901925601172.656,0.5096256697481486,0.6107949122831051,0.22345404635380597,0.997369053653022,0.25874973069055607,686940088935.8893,3343.703024236302,561.6199198117936,192.80796137314647,115.96707945282614,91.76827910719166
137.2142635848495,955.8917276445816,444.4121412698142,511.47958637476734,2840.0454624850663,782.3279191921634,3622.3733816772296,4184541473662.654,16617213167705.178,20041956294136.99,36000501081297.69,0.46158282992171584,0.5567132593204047,0.21597108767123568,0.9990105997632578,0.2087890728953833,1945472465929.9707,2840.0454624850663,409.85202870587744,171.93196106628653,114.34234209651119,86.20158732348831
184.4519608845518,764.5140354554607,471.01792500971357,293.4961104457471,2565.696684963569,585.2920826488939,3150.988767612463,6047733858596.806,26343830454520.887,30973818370041.074,56982892139339.58,0.46231122123641316,0.543563466282146,0.18574870487157458,0.9994808596645066,0.19525309364009116,3726015378370.657,2565.696684963569,325.38431727223735,132.11617196840064,77.77434347803607,50.01724993021983
231.68965818425403,668.3502512533165,469.65732456599756,198.69292668731896,2436.055896623175,433.5001595370121,2869.5560561601874,8341767256032.757,38746500813340.42,44157073233309.83,79600131301643.6,0.4867642826682169,0.5547361858735786,0.15106871970889033,0.9996799207071938,0.18891123539728072,5861854744984.128,2436.055896623175,265.919834684599,94.71310635444841,47.30344902087046,25.563769477094247
278.9273554839564,600.9790182758989,455.0909937562362,145.88802451966262,2327.8924804594185,331.51493850332736,2659.407418962746,10871317599575.072,52981370901167.76,58978259437830.01,103071563828058.17,0.5140250999737442,0.5722068943886047,0.12465744667006638,0.9997731073122932,0.1843275421010807,8232298598416.289,2327.8924804594185,221.65953038542196,67.93697515327673,28.762688047715923,13.155744916912747
326.16505278365867,545.3489381718035,434.99518207716665,110.35375609463684,2209.8484131184846,264.23059976967687,2474.0790128881613,13489317588573.242,68150370321326.32,74686168280081.08,126898871555280.16,0.5370447308638076,0.5885487188713574,0.10679958012384676,0.9998184407950488,0.18061333040927827,10759694848236.03,2209.8484131184846,188.67393693772934,50.216668111430565,18.204086813793346,7.135907906723625
373.4027500833609,498.88976968712103,413.1836864637965,85.70608322332454,2102.691493082538,220.15258019702492,2322.844073279563,16173360901482.988,84339898779038.34,91476960609655.16,150759697878270.78,0.5594326598288731,0.6067733080993383,0.09477716680577583,0.9998407472966386,0.17680256092566254,13394880564448.434,2102.691493082538,165.10212974974817,38.710163630157645,12.182706362260376,4.157580454858733
420.64044738306325,459.8867822743827,391.49897344078636,68.38780883359634,2016.3726833331532,190.58142998492576,2206.954113318079,18919673786112.77,101872945918059.33,109713437586842.27,174444344902985.62,0.5839853735282408,0.62893089281775,0.08635495810032641,0.9998510139123362,0.17244627642933114,16106209507622.77,2016.3726833331532,148.42948111824174,31.00684589943124,8.56275200814607,2.582350959106725
467.87814468276554,426.72688451397755,370.79115578289475,55.935728731082776,1951.280026118634,169.72943382718455,2121.0094599458184,21719817824735.395,121037316277199.16,129676313528147.33,197816833708586.34,0.6118656031847378,0.6555373023469775,0.08002294993607446,0.9998533006140062,0.16749256077534103,18872765337483.113,1951.280026118634,136.56617335991282,25.471871400529015,6.098668954898452,1.5927201118442527
515.1158419824677,398.1836440172965,351.4110591976492,46.77258481964731,1906.4689608535177,156.00798700074483,2062.4769478542626,24565968169929.44,142185705979279.47,151810629806508.75,220790271889057.03,0.6439853747303012,0.6875784358959018,0.07564108154665716,0.9998490662718209,0.1618198159196109,21680330230830.996,1906.4689608535177,129.093568836144,21.661984199665202,4.360802037767207,0.891631927168434
562.3535392821701,373.3663471136963,333.45930934228835,39.90703777140797,1881.594207420114,151.4667692454025,2033.0609766655164,27453308571302.48,165805323372865.72,176942545531578.5,243310896975740.53,0.6814545728685446,0.7272281995212926,0.07450183294247655,0.9998416678879952,0.1551538014151772,24518978172822.664,1881.594207420114,127.0757349580263,20.21384552913836,3.607650887403453,0.5695378708343972
609.5912365818724,351.60745045758694,316.9135954464296,34.693855011157304,1874.1530605906887,157.34369742749175,2031.4967580181803,30379187487102.156,192307631077004.8,205902262470176.12,265347528583996.38,0.7247387307627755,0.7759720377610274,0.077452103630718,0.9998387068323796,0.14754178571254128,27381608440746.242,1874.1530605906887,130.83189430962952,21.590171587943193,4.1353305335001505,0.7863009964188771
656.8289338815746,332.375460293885,301.69435816891183,30.681102124973144,1876.4677102545068,168.91259713102454,2045.3803073855313,33340657336505.69,221569556291005.22,238513216980591.78,286884474610753.44,0.7723302440525306,0.8313911629557784,0.08258248919338325,0.9998480821107433,0.1397853660211152,30263029067106.383,1876.4677102545068,137.55756706311394,24.576906217210155,5.4366833262977305,1.341440524402727
704.0666311812769,315.2258267627518,287.6988185532395,27.527008209512324,1877.55765647392,177.1509016343034,2054.7085581082233,36332055663745.48,252734150591845.94,273152072832412.6,307916690105893.06,0.8207874360591829,0.8870973273273207,0.08621704569012298,0.9998704980152145,0.13301036044502704,33159368943259.55,1877.55765647392,142.31764100491867,26.730867490702888,6.37232383002458,1.7300693086572787
751.3043284809793,299.78633958727335,274.818462560377,24.967877026896367,1869.0368110007598,176.4468797365807,2045.4836907373406,39344522269195.01,284640423788939.94,307797643689898.3,328446432666030.5,0.8666266260786787,0.9371319432257978,0.08626168985633734,0.9998988887052729,0.1278259371888956,36067691193263.8,1869.0368110007598,141.86210684138757,26.573532958930944,6.312051313111524,1.6991886231506705
798.5420257806816,285.76025945449305,262.9477710804051,22.81248837408793,1848.3960230186613,167.62764652016995,2016.0236695388312,42368007566407.23,316418908970501.5,341272082780124.9,348480928281042.1,0.907994909596076,0.9793135149849478,0.08314765796302136,0.9999254661567999,0.12414729977694698,38985732921615.87,1848.3960230186613,136.32154664802655,24.41996415102489,5.495321761433905,1.390813959684594
