x,n_old_q,pearson_old_q,spearman_old_q,n_new_q,pearson_new_q,spearman_new_q,delta_spearman_q,delta_pearson_q,n_old_v,pearson_old_v,spearman_old_v,n_new_v,pearson_new_v,spearman_new_v,delta_spearman_v,delta_pearson_v
frac_bul_half_rt,175,0.5443983376360203,0.5845253506244299,175,0.5792394220246067,0.5892754827586414,0.004750132134211493,0.03484108438858635,175,0.5666981859730763,0.5845253506244299,173,0.580034931578932,0.5907586002048396,0.0062332495804097166,0.013336745605855738
frac_bul_peak,175,0.6111668100383488,0.5863024979613551,175,0.6025862858959345,0.5890994289103105,0.0027969309489553895,-0.00858052414241428,175,0.6239622246858318,0.5863024979613551,173,0.6111004463177242,0.5905772105886992,0.004274712627344024,-0.012861778368107646
frac_bul_rt,175,0.5013582799977537,0.5838377440847223,175,0.5285379298469407,0.588102897693343,0.004265153608620675,0.02717964984918697,175,0.5239692420871285,0.5838377440847223,173,0.5348009899907145,0.5895504769124323,0.00571273282771001,0.010831747903585986
frac_disk_half_rt,175,-0.2719295789423713,0.04494136224291448,175,-0.2698105489173337,0.08611856611669463,0.041177203873780155,0.002119030025037605,175,-0.2341227717242951,0.04494136224291448,173,-0.20077231975331106,0.10514709714059686,0.060205734897682384,0.033350451970984046
frac_disk_rt,175,-0.04042558139435998,0.158103757269295,175,-0.004418710301323102,0.22317565940690615,0.06507190213761116,0.03600687109303687,175,0.01959154402252255,0.158103757269295,173,0.09120684308729186,0.24768503722882976,0.08958127995953477,0.07161529906476932
frac_gas_half_rt,175,-0.2934528862562986,-0.640965725159946,175,-0.3398052598862275,-0.6917297379729732,-0.050764012813027226,-0.04635237362992889,175,-0.374600007605645,-0.640965725159946,173,-0.43920110746891744,-0.7131911002661033,-0.07222537510615734,-0.06460109986327245
frac_gas_rt,175,-0.3202077954709824,-0.583533515534271,175,-0.37938835741140653,-0.6577815004197658,-0.07424798488549478,-0.05918056194042415,175,-0.402354668132781,-0.583533515534271,173,-0.4889032169838436,-0.6876905081894188,-0.10415699265514777,-0.08654854885106261
sparc_L36_1e9solLum,175,0.7441193178558693,0.8488695401985887,175,0.8416376693578366,0.87986600962844,0.030996469429851237,0.0975183515019673,175,0.7612717440206711,0.8488695401985887,173,0.8015832082649373,0.900835243027241,0.051965702828652316,0.04031146424426624
sparc_MHI_1e9solMass,175,0.5531138024972563,0.7685954530768601,175,0.7114774251022141,0.8354150911076803,0.06681963803082025,0.15836362260495784,175,0.6194390774613827,0.7685954530768601,173,0.7066835576200604,0.8370873528872878,0.06849189981042769,0.0872444801586777
sparc_Rdisk_kpc,175,0.5221211275687918,0.6686431043370602,175,0.6122625341515902,0.7000865998124779,0.03144349547541769,0.09014140658279834,175,0.5939000507166928,0.6686431043370602,173,0.6410371334157484,0.7076989043338162,0.03905579999675601,0.04713708269905559
sparc_SBdisk_solLum_pc2,175,0.31205420393811245,0.6253383244928651,175,0.356117338576976,0.6398974013294767,0.014559076836611617,0.04406313463886352,175,0.38067543061389003,0.6253383244928651,173,0.4049249562163453,0.6561395275306361,0.030801203037771008,0.024249525602455246
sparc_SBeff_solLum_pc2,175,0.5632379301526452,0.7384240755509313,175,0.4980865514039491,0.7521826263640508,0.013758550813119497,-0.06515137874869614,175,0.6152964284948995,0.7384240755509313,173,0.5694070883393444,0.7739844295547958,0.03556035400386459,-0.045889340155555125
sparc_T,175,-0.65283043350461,-0.8010031400994863,175,-0.7005606277483682,-0.8234737527610062,-0.02247061266151995,-0.04773019424375824,175,-0.757265843757059,-0.8010031400994863,173,-0.8036847052870738,-0.8418811462259921,-0.04087800612650583,-0.04641886153001484
