r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar,gextra,gtot
0.96,22.9,2.71,11.265329555765334,11.265329555765335,132.19546875,0.0,132.19546875
1.92,33.5,2.71,16.237536759003813,26.803402958978722,137.3216666666667,236.85667196947358,374.17833863614027
2.88,37.2,4.19,16.33582872094342,38.16732751077177,92.65947916666666,413.1547185119846,505.8141976786512
3.83,35.9,5.98,16.3417043174817,47.60969134650315,69.72618798955612,522.0969739188764,591.8231619084326
