name,type,source,redshift,M500_Msun,M_bar_Msun,M_gas_Msun,M_star_Msun,sigma_kms,sigma2_kms2,Q1_MOND_kms2,Q1_cluster_kms2,IRS_closure,Q1_ref_kms2
PSZ2 G008.80-35.18,cluster,PSZ2_Planck2016,0.0936,297552100000000.0,40169533500000.0,37194012500000.0,2975521000000.0,639.2909738657912,408692.9492662717,799823.1247526078,235927.8026361217,0.2949749705087562,799823.1247526078
PSZ2 G008.94-81.22,cluster,PSZ2_Planck2016,0.3066,983568400000000.0,132781734000000.0,122946050000000.0,9835684000000.0,955.3526941707156,912698.7702592448,1454168.491562799,341617.81049864483,0.2349231278773666,1454168.491562799
PSZ2 G009.45-56.93,cluster,PSZ2_Planck2016,0.1544,402107600000000.0,54284526000000.0,50263450000000.0,4021076000000.0,707.3598486901627,500357.9555389699,929787.2518817184,266885.6376655699,0.2870394674969381,929787.2518817184
PSZ2 G011.06-63.84,cluster,PSZ2_Planck2016,0.224,407050100000000.0,54951763500000.0,50881262500000.0,4070501000000.0,710.2693611995579,504482.56545882806,935484.0334366772,268140.5258216781,0.2866329260977477,935484.0334366772
PSZ2 G011.36+49.42,cluster,PSZ2_Planck2016,0.0442,186968600000000.0,25240761000000.0,23371075000000.0,1869686000000.0,546.884573820925,299082.7370832947,634010.9879703542,190524.74809839472,0.3005070128331963,634010.9879703542
PSZ2 G011.72-37.96,cluster,PSZ2_Planck2016,0.323,537403200000000.0,72549432000000.0,67175400000000.0,5374032000000.0,779.7623850757858,608029.3771790781,1074886.406592104,296001.5250902781,0.2753793547624649,1074886.406592104
PSZ2 G012.59-20.10,cluster,PSZ2_Planck2016,0.352,697443800000000.0,94154913000000.0,87180475000000.0,6974438000000.0,851.1390088831512,724437.6124425929,1224523.3066277015,319486.74712089286,0.2609070365518393,1224523.3066277015
PSZ2 G012.81+49.68,cluster,PSZ2_Planck2016,0.0355,189815100000000.0,25625038500000.0,23726887500000.0,1898151000000.0,549.668099207595,302135.0192864905,638819.0015108404,191924.2912018405,0.3004361027895687,638819.0015108404
PSZ2 G013.74-45.53,cluster,PSZ2_Planck2016,0.323033,481064900000000.0,64943761500000.0,60133112500000.0,4810649000000.0,751.2800066499298,564421.6483919185,1016984.3783724722,285105.02455656853,0.2803435634014707,1016984.3783724722
PSZ2 G014.09+38.38,cluster,PSZ2_Planck2016,0.2222,472576900000000.0,63797881499999.99,59072112499999.99,4725768999999.999,746.7997336887114,557709.8422375303,1007972.5174439664,283321.5336941803,0.2810806135991007,1007972.5174439664
PSZ2 G014.33+60.23,cluster,PSZ2_Planck2016,0.219834,436591100000000.0,58939798499999.99,54573887499999.99,4365911000000.0,727.18775485462,528802.0308105029,968835.1473757384,275307.851441853,0.2841637735661975,968835.1473757384
PSZ2 G015.75-28.66,cluster,PSZ2_Planck2016,0.149,326018300000000.0,44012470500000.0,40752287500000.0,3260183000000.0,659.2204977892538,434571.6647055117,837208.1276779732,245278.4303320617,0.2929718695067499,837208.1276779732
PSZ2 G018.18-60.00,cluster,PSZ2_Planck2016,0.2515,486844900000000.0,65724061500000.0,60855612500000.0,4868449000000.0,754.3009384299876,568969.90571636,1023075.6754311478,286297.28961101,0.2798397972763429,1023075.6754311478
PSZ2 G018.32-28.50,cluster,PSZ2_Planck2016,0.1612,509226400000000.0,68745564000000.0,63653300000000.0,5092264000000.0,765.779020489906,586417.5082224798,1046328.1318395544,290749.71201487986,0.2778762256001962,1046328.1318395544
PSZ2 G018.54-25.69,cluster,PSZ2_Planck2016,0.3171,899196800000000.0,121391568000000.0,112399600000000.0,8991968000000.0,926.99329947624,859316.5772738459,1390400.2044001014,337223.58246264595,0.2425370633544631,1390400.2044001014
PSZ2 G018.73+23.56,cluster,PSZ2_Planck2016,0.089,396883200000000.0,53579232000000.0,49610400000000.0,3968832000000.0,704.2584564798184,495979.9735233362,923727.3540614948,265541.05461453623,0.2874669169934081,923727.3540614948
