obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row
25949,archived,Abell 2744,3.58854,-30.40122,60244.4485416667,ACIS-I,NONE,21090,GO,Bogdan,60443,5818
25950,archived,Abell 2744,3.58854,-30.40122,60125.5921875,ACIS-I,NONE,30090,GO,Bogdan,60443,5819
25951,archived,Abell 2744,3.58854,-30.40122,59901.0640509259,ACIS-I,NONE,29090,GO,Bogdan,60443,5820
25952,archived,Abell 2744,3.58854,-30.40122,60214.7751967593,ACIS-I,NONE,10990,GO,Bogdan,60443,5821
25953,archived,Abell 2744,3.58854,-30.40122,59839.8988194444,ACIS-I,NONE,25080,GO,Bogdan,60443,5822
25954,archived,Abell 2744,3.58854,-30.40122,59693.5028703704,ACIS-I,NONE,13570,GO,Bogdan,60443,5823
25955,archived,Abell 2744,3.58854,-30.40122,60145.644849537,ACIS-I,NONE,44000,GO,Bogdan,60443,5824
25956,archived,Abell 2744,3.58854,-30.40122,59824.0260300926,ACIS-I,NONE,14090,GO,Bogdan,60443,5825
25957,archived,Abell 2744,3.58854,-30.40122,59830.758599537,ACIS-I,NONE,22090,GO,Bogdan,60443,5826
25958,archived,Abell 2744,3.58854,-30.40122,59703.9247106481,ACIS-I,NONE,12480,GO,Bogdan,60443,5827
25959,archived,Abell 2744,3.58854,-30.40122,60161.6456712963,ACIS-I,NONE,15590,GO,Bogdan,60443,5828
25960,archived,Abell 2744,3.58854,-30.40122,60133.4266666667,ACIS-I,NONE,25090,GO,Bogdan,60443,5829
25961,archived,Abell 2744,3.58854,-30.40122,60196.8314351852,ACIS-I,NONE,19090,GO,Bogdan,60443,5830
25962,archived,Abell 2744,3.58854,-30.40122,60198.4598148148,ACIS-I,NONE,22090,GO,Bogdan,60443,5831
25963,archived,Abell 2744,3.58854,-30.40122,59909.043912037,ACIS-I,NONE,38080,GO,Bogdan,60443,5832
25964,archived,Abell 2744,3.58854,-30.40122,60192.5801157407,ACIS-I,NONE,20590,GO,Bogdan,60443,5833
25965,archived,Abell 2744,3.58854,-30.40122,60132.5164930556,ACIS-I,NONE,36100,GO,Bogdan,60443,5834
25966,archived,Abell 2744,3.58854,-30.40122,60169.2674884259,ACIS-I,NONE,19090,GO,Bogdan,60443,5835
25967,archived,Abell 2744,3.58854,-30.40122,59792.3411342593,ACIS-I,NONE,34080,GO,Bogdan,60443,5836
25968,archived,Abell 2744,3.58854,-30.40122,59772.9453009259,ACIS-I,NONE,27820,GO,Bogdan,60443,5837
25969,archived,Abell 2744,3.58854,-30.40122,59861.1832407407,ACIS-I,NONE,28090,GO,Bogdan,60443,5838
25970,archived,Abell 2744,3.58854,-30.40122,59742.4770601852,ACIS-I,NONE,25080,GO,Bogdan,60443,5839
25971,archived,Abell 2744,3.58854,-30.40122,59703.5501851852,ACIS-I,NONE,12780,GO,Bogdan,60443,5840
25972,archived,Abell 2744,3.58854,-30.40122,59717.1262731481,ACIS-I,NONE,32170,GO,Bogdan,60443,5841
25973,archived,Abell 2744,3.58854,-30.40122,59894.4789236111,ACIS-I,NONE,18390,GO,Bogdan,60443,5842
26280,archived,Abell 2744,3.58854,-30.40122,59597.99,ACIS-I,NONE,11900,GO,Bogdan,60443,5843
27347,archived,Abell 2744,3.58854,-30.40122,59831.2295601852,ACIS-I,NONE,22250,GO,Bogdan,60443,5844
27449,archived,Abell 2744,3.58854,-30.40122,59846.0786226852,ACIS-I,NONE,9910,GO,Bogdan,60443,5845
27450,archived,Abell 2744,3.58854,-30.40122,59848.0080555556,ACIS-I,NONE,9910,GO,Bogdan,60443,5846
27556,archived,Abell 2744,3.58854,-30.40122,59898.8593518519,ACIS-I,NONE,25490,GO,Bogdan,60443,5847
27563,archived,Abell 2744,3.58854,-30.40122,60103.6928703704,ACIS-I,NONE,11850,GO,Bogdan,60443,5848
