seq_id,instrument,exposure,name,ra,dec,start_time,end_time,__row
RH800608N00,HRI,34203,AC118,3.5900,-30.4000,49695.6210763889,49696.8954282407,3401
RP800343N00,PSPCB,13648,A 2744,3.5800,-30.3900,48789.6807407407,48795.8180555556,3403
