obsid,status,name,ra,dec,time,duration,pi_lname,pi_fname,public_date,data_in_heasarc,__row
0743850101,archived,A2744,3.58332,-30.38833,57009.7980671296,111900,Kneib,Jean-Paul,57399,Y,5402
0042340101,archived,RXCJ0014.3-3022,3.58374,-30.37569,52059.8268055556,18311,Boehringer,Hans,52579,Y,5404
