r,aN,aBL,aTot,v
0.001,0.9980029960049942,3.459880728685383e-08,0.9980030306038015,0.031591185963869756
0.013502875718929733,0.9735315472950071,2.7937620736102773e-09,0.9735315500887692,0.11465372008489592
0.026005751437859468,0.9499492614198741,1.5815998891061787e-09,0.949949263001474,0.15717552103363336
0.0385086271567892,0.9272135777454499,1.1645393119149444e-09,0.9272135789099892,0.1889595777010441
0.051011502875718935,0.9052844520029673,9.584866439547714e-10,0.9052844529614539,0.21489513832468812
0.06351437859464867,0.8841241798436641,8.393053436319163e-10,0.8841241806829694,0.23696961395204594
0.0760172543135784,0.8636972346607426,7.645635829991639e-10,0.8636972354253062,0.2562340578363073
0.08852013003250814,0.8439701183752742,7.158357824767996e-10,0.8439701190911101,0.27332827275182575
0.10102300575143787,0.8249112240150989,6.838498547100715e-10,0.8249112246989487,0.28867804107203504
0.1135258814703676,0.8064907090334211,6.634492748707458e-10,0.8064907096968704,0.30258481243446367
0.12602875718929735,0.7886803784184808,6.515541302222065e-10,0.788680379070035,0.31527195878127257
0.13853163290822706,0.7714535767388955,6.462265006220744e-10,0.771453577385122,0.3269108804981172
0.1510345086271568,0.754785088352454,6.462002589192783e-10,0.7547850889986542,0.337636779744175
0.16353738434608653,0.7386510450803946,6.506267650435182e-10,0.7386510457310214,0.3475587144114686
0.17604026006501627,0.72302884071565,6.589291372453731e-10,0.7230288413745791,0.3567662894250076
0.188543135783946,0.707897051792984,6.70714717297637e-10,0.7078970524636987,0.36533427170704674
0.20104601150287574,0.6932353641022855,6.857204142222883e-10,0.6932353647880058,0.37332586988229155
0.21354888722180548,0.6790245044741157,7.037774699662147e-10,0.6790245051778931,0.3807951253326074
0.2260517629407352,0.6652461774096086,7.247881462354787e-10,0.6652461781343967,0.38778869420970324
0.23855463865966495,0.6518830061655039,7.487099782791869e-10,0.6518830069142139,0.3943472012868814
0.2510575143785947,0.6389184779399133,7.755449778090785e-10,0.6389184787154583,0.40050628603912825
0.2635603900975244,0.6263368928358374,8.05332162430884e-10,0.6263368936411695,0.40629742310349237
0.27606326581645413,0.6141233163077773,8.381423786509116e-10,0.6141233171459196,0.41174857443024204
0.28856614153538385,0.6022635348223971,8.740747454134927e-10,0.6022635356964718,0.4168847138998848
0.3010690172543136,0.5907440144873527,9.132542706648616e-10,0.590744015400607,0.4217282539331789
0.31357189297324334,0.5795518624233525,9.558303382096075e-10,0.5795518633791829,0.4262993958193946
0.32607476869217306,0.5686747906735248,1.0019758571116793e-09,0.5686747916755006,0.4306164199803098
0.33857764441110283,0.5581010824613847,1.0518869294917932e-09,0.5581010835132716,0.43469592843642746
0.35108052013003255,0.5478195606243484,1.105782935980672e-09,0.5478195617301314,0.43855304886595076
0.36358339584896227,0.5378195580639427,1.1639069682625008e-09,0.5378195592278496,0.44220160752540655
0.376086271567892,0.5280908900668001,1.2265265595024662e-09,0.5280908912933266,0.4456542767162368
