r,aN,aChi,aTot,v,chi
0.001,0.9980029960049942,0.0,0.9980029960049942,0.03159118541626753,0.0
0.02600300037504688,0.949954355700475,1.859229101430065e-22,0.949954355700475,0.15716762856121763,2.3243152960176994e-24
0.05100600075009376,0.9052939305441283,4.124282972821166e-22,0.9052939305441283,0.21488467348880222,9.804603027847754e-24
0.07600900112514064,0.8637104841472448,7.10397086517638e-22,0.8637104841472448,0.2562221129437186,2.3841604773976466e-23
0.10101200150018752,0.8249277135278735,1.099517692421497e-21,0.8249277135278735,0.2886652030231975,4.6468254722285506e-23
0.1260150018752344,0.7886996474558289,1.6043712028742154e-21,0.7886996474558289,0.315258604249183,8.02709222538674e-23
0.15101800225028128,0.7548067367653153,2.2557711088628444e-21,0.7548067367653153,0.3376231708152624,1.2852849208791543e-22
0.17602100262532816,0.7230525202218194,3.0923159090016515e-21,0.7230525202218194,0.3567526167531431,1.9538760294464011e-22
0.20102400300037504,0.6932607711083032,4.162298585532398e-21,0.6932607711083032,0.37331227589153543,2.860811674084678e-22
0.22602700337542192,0.665273046919744,5.5260673475681574e-21,0.665273046919744,0.38777528701776004,4.072002759379201e-22
0.2510300037504688,0.6389465783721325,7.25894482076602e-21,0.6389465783721325,0.4004931484621249,5.670321079578393e-22
0.2760330041255157,0.6141524450690318,9.454835547345457e-21,0.6141524450690318,0.41173577012865376,7.759794363640105e-22
0.30103600450056256,0.5907739941866658,1.2230680594515889e-20,0.5907739941866658,0.4217158317786901,1.0470809204780327e-21
0.32603900487560944,0.568705465872497,1.573195368377608e-20,0.568705465872497,0.430604417256011,1.3966557981517491e-21
0.3510420052506563,0.5478507950418698,2.0139436786233835e-20,0.5478507950418698,0.43854149366925854,1.8451019928393046e-21
0.3760450056257032,0.5281225641687538,2.5677566225478938e-20,0.5281225641687538,0.4456431897986323,2.4178832645819937e-21
0.4010480060007501,0.5094410857096041,3.262470501732323e-20,0.5094410857096041,0.45200700392659177,3.1467491194569275e-21
0.42605100637579696,0.4917335961398528,4.132577591685438e-20,0.4917335961398528,0.4577156251475079,4.0712410707229976e-21
0.45105400675084384,0.4749335463525317,5.220778541483194e-20,0.4749335463525317,0.4628397984429354,5.2405509052508094e-21
0.4760570071258907,0.4589799754733713,6.579888532157569e-20,0.4589799754733713,0.4674405132790352,6.715811321591026e-21
