r,aN,aExtra,aTot,v
0.001,0.9980029960049942,1.799406173568517,2.7974091695735113,0.052890539509193056
0.03433872312052009,0.9347047122681784,0.053169607951966506,0.9878743202201449,0.1841801910084566
0.06767744624104018,0.8772429012618045,0.02737286920082142,0.9046157704626259,0.24743097052366242
0.10101616936156027,0.8249214680649261,0.01860751339046217,0.8435289814553882,0.29190763342551
0.13435489248208035,0.777145081974526,0.014195115891349855,0.7913401978658758,0.3260681327591182
0.16769361560260043,0.7334021665927363,0.011539508419015559,0.7449416750117518,0.3534430122322098
0.20103233872312054,0.6932511480376528,0.00976669242498775,0.7030178404626405,0.3759379212480197
0.23437106184364062,0.6563092670924662,0.00849996646501668,0.6648092335574829,0.39473034592278833
0.2677097849641607,0.6222434231752925,0.00755027650995161,0.6297936996852441,0.41061166071425675
0.3010485080846808,0.590762639103761,0.00681231366886651,0.5975749527726275,0.4241450789540922
0.33438723120520086,0.5616118268585394,0.006222766843659165,0.5678345937021986,0.4357483649660758
0.36772595432572097,0.5345666038236171,0.005741284738366335,0.5403078885619834,0.445741218591203
0.4010646774462411,0.5094289619741366,0.005340933129503356,0.5147698951036399,0.4543743191893405
0.43440340056676113,0.4860236333069729,0.005003046334349209,0.49102667964132213,0.46184809126507814
0.46774212368728124,0.46419502646961275,0.004714280475447834,0.46890930694506056,0.4683253517024397
0.5010808468078013,0.4438046342522376,0.004464843087001257,0.44826947733923883,0.4739401326151187
0.5344195699283214,0.42472883100881276,0.004247385376582879,0.4289762163853956,0.4788040153028812
0.5677582930488415,0.40685699439352063,0.004056284764685775,0.4109132791582064,0.48301078866415126
0.6010970161693616,0.3900898979635317,0.003887166179888025,0.39397706414341976,0.48663994667081617
0.6344357392898816,0.3743383309085416,0.003736574285685775,0.37807490519422743,0.48975936130292763
0.6677744624104017,0.35952190895599495,0.0036017438920174154,0.36312365284801235,0.4924273571493391
0.7011131855309218,0.34556804677839814,0.003480435869928374,0.3490484826483265,0.4946943435843015
