r_kpc,g_bar_total,g_bar_gas,g_bar_galaxies,g_resp_ground,g_resp_higher,g_resp_total,m_eff_bary_msun,m_eff_ground_msun,m_eff_full_msun,m_obs_analog_msun,closure_ground,closure_full,higher_mode_fraction,mean_activation,baryon_fraction_full,gas_mass_enclosed_msun,shell_directions,mode_1,mode_2,mode_3,mode_4,mode_5
89.9765662851472,1398.554305247503,364.9382423049603,1033.6160629425426,2712.0160534375023,336.1277534458048,3048.143806883307,2632563287312.4966,7737516216271.665,8370224992933.473,17901925601172.656,0.4322169798183511,0.4675600368032579,0.11027293157454131,0.9971655633963786,0.3145152357953373,686940088935.8893,48,2712.0160534375023,421.51196897386575,65.59126634451778,-38.368019925485704,-112.60746194709304
137.2142635848495,931.4365059383568,444.4121412698142,487.0243646685428,2456.316379316958,648.5865949147942,3104.902974231752,4077485531532.603,14830332809556.602,17669605738897.953,36000501081297.69,0.41194795528168304,0.4908155500112563,0.20889109910923204,0.9986009828133978,0.2307626775483964,1945472465929.9707,48,2456.316379316958,331.5160767904302,118.81090626135047,91.79248770826081,106.4671241547528
184.4519608845518,753.0437954769897,471.01792500971357,282.0258704672761,2298.2981143623274,666.708655060044,2965.0067694223712,5956997841379.406,24137822101979.918,29411860667699.707,56982892139339.58,0.4235977009197075,0.5161524724961176,0.22485906674335487,0.9989764352776633,0.20253726578820017,3726015378370.6577,48,2298.2981143623274,298.817299057003,132.98752810122684,111.6313168574243,123.27251104438979
231.68965818425403,657.2217650273167,469.6573245659976,187.56444046131912,2210.894948178697,540.1487607033232,2751.0437088820204,8202871158013.526,35797341348846.38,42539008965447.42,79600131301643.6,0.4497146017660807,0.5344087788529699,0.19634321292656995,0.9992387228983152,0.19283174097159528,5861854744984.128,48,2210.894948178697,272.17207884168613,115.230732315586,81.16754077816066,71.57840876789038
278.9273554839564,594.7633804710808,455.0909937562362,139.67238671484463,2164.4840425947923,465.1944752480073,2629.6785178427995,10758880774652.375,49912982250217.69,58328046224492.82,103071563828058.17,0.4842556025780445,0.5658985277626567,0.17690165246116077,0.9994258255504366,0.18445467439872107,8232298598416.289,48,2164.4840425947923,252.8221778554358,99.9353228025278,62.91315253423082,49.52382205581285
326.16505278365867,542.3225666205888,434.99518207716665,107.32738454342216,2116.275381462158,390.89995210059885,2507.175333562757,13414459668922.36,65760964314409.93,75429954625310.44,126898871555280.16,0.5182155168792253,0.5944099715059433,0.15591249118789013,0.9995629767077152,0.17783995410784925,10759694848236.03,48,2116.275381462158,232.6827869012849,83.18187465440637,45.10030031075775,29.934990234149804
373.4027500833609,497.53341463734404,413.1836864637965,84.34972817354748,2068.720463876539,333.2975321786824,2402.0179960552214,16129389625534.895,83194630685783.27,93999705479920.95,150759697878270.78,0.5518360135807504,0.6235068576206617,0.1387573002059307,0.9996582037212156,0.17158978895928834,13394880564448.432,48,2068.720463876539,213.58597546751955,68.75133922474838,32.42416088774235,18.536056598672094
420.64044738306325,459.8617704162368,391.49897344078636,68.36279697545048,2026.4302970473516,288.7496637592836,2315.1799608066353,18918644801990.715,102285685665446.14,114164803863098.47,174444344902985.62,0.5863513989079477,0.654448293675495,0.12472018099995988,0.9997235924066945,0.16571346125796477,16106209507622.771,48,2026.4302970473516,196.3991498915102,56.96252967583027,23.59957654342681,11.788407648516305
467.87814468276554,428.0498916560087,370.79115578289475,57.258735873114,1988.9223457511546,254.58209312125274,2243.5044388724073,21787157088204.742,123020598394491.75,135978480554485.6,197816833708586.34,0.6218914542718817,0.6873959005673003,0.11347519029167,0.9997696467208315,0.16022503707470673,18872765337483.113,48,1988.9223457511546,181.39496082276705,47.700166907204,17.63008728816804,7.856878103113657
515.1158419824677,399.50835092660526,351.4110591976492,48.09729172895603,1950.3997365874438,227.98851669553636,2178.3882532829803,24647696056691.035,144977746191961.34,159043513905937.78,220790271889057.03,0.656631041537962,0.7203375064724508,0.10465926647921557,0.999804707565353,0.15497454408149133,21680330230830.996,48,1950.3997365874438,167.9794587017001,40.55820199374565,13.733038439742423,5.717817560348192
562.3535392821701,373.77406072907047,333.45930934228835,40.314751386782135,1913.9443630279782,205.6347577646305,2119.5791207926086,27483287405169.316,168213981514865.03,183334129598747.75,243310896975740.53,0.6913540807489478,0.7534974054903394,0.09701678778932969,0.9998325983175319,0.1499081893007064,24518978172822.668,48,1913.9443630279782,155.79239429904723,34.710064663033506,10.86071972005543,4.271579082494346
609.5912365818724,353.1086617958904,316.9135954464296,36.19506634946077,1888.3361130733908,186.10958336161116,2074.445696435002,30508893443687.355,193662765021394.78,209742793811259.3,265347528583996.38,0.7298457462741749,0.790445627779287,0.08971533151311029,0.9998527611672865,0.14545860141036032,27381608440746.24,48,1888.3361130733908,145.26158898410475,29.542204633769103,8.33889688222583,2.966892861511486
