r_kpc,g_bar_total,g_bar_gas,g_bar_galaxies,g_resp_ground,g_resp_higher,g_resp_total,m_eff_bary_msun,m_eff_ground_msun,m_eff_full_msun,m_obs_analog_msun,closure_ground,closure_full,higher_mode_fraction,mean_activation,baryon_fraction_full,gas_mass_enclosed_msun,shell_directions,mode_1,mode_2,mode_3,mode_4,mode_5
89.9765662851472,1485.3213669203544,364.9382423049603,1120.3831246153943,2971.717831315589,372.9003568499129,3344.618188165502,2795888930264.562,8389690496367.387,9091618040822.002,17901925601172.656,0.46864737812438595,0.5078569894305929,0.11149265353198534,0.9971126853228944,0.30752380024224785,686940088935.8893,48,2971.717831315589,455.60668753409453,70.01968198169997,-38.33281007068991,-114.39320259519172
137.2142635848495,965.6920401912813,444.4121412698142,521.2798989214672,2631.8005028122666,667.2739675565598,3299.0744703688265,4227443627871.6606,15748495684218.1,18669575039529.832,36000501081297.69,0.43745212458721766,0.5185920884092556,0.20226095941446287,0.9985973303077481,0.2264349145023776,1945472465929.9707,48,2631.8005028122666,345.3749901000518,120.5548253821226,93.02522084399926,108.31893123038618
184.4519608845518,770.6811478452588,471.01792500971357,299.6632228355453,2430.4657078760406,679.3954924011372,3109.861200277178,6096519168845.994,25322863057906.895,30697261606815.91,56982892139339.58,0.44439413492711466,0.5387101365748911,0.21846489236901748,0.9989755449674286,0.19860140122376077,3726015378370.6577,48,2430.4657078760406,306.53564292487425,134.36738502438124,113.08205499971808,125.41040945216356
231.68965818425403,668.1480238861282,469.6573245659976,198.49069932013057,2320.8252839338215,548.7223861338683,2869.54767006769,8339243229705.66,37305768377542.22,44154444539060.984,79600131301643.6,0.4686646588078169,0.5547031621309559,0.19122260691383616,0.9992406189796097,0.18886531846931956,5861854744984.128,48,2320.8252839338215,277.53511939614907,116.31035973335575,82.1618461131915,72.71506089117197
278.9273554839564,601.3599517246071,455.0909937562362,146.26895796837093,2259.173318939189,471.5498810018381,2730.723199941027,10878208436658.02,51745177025898.984,60275206135932.56,103071563828058.17,0.50203155074099,0.5847898673244388,0.17268314892260841,0.9994253796645454,0.18047567373101137,8232298598416.289,48,2259.173318939189,256.7373117682344,100.81419642120755,63.68681938254335,50.31155342985281
326.16505278365867,549.3341327195474,434.99518207716665,114.33895064238068,2211.4184797149915,396.78102720821124,2608.1995069232025,13587892191261.533,68287780842585.34,78102240749804.84,126898871555280.16,0.5381275657194285,0.615468363056181,0.15212832689945535,0.9995618772088573,0.17397570237183604,10759694848236.03,48,2211.4184797149915,236.66699730239006,83.96995592347649,45.688075906444425,30.455998075900258
373.4027500833609,505.29457932668925,413.1836864637965,92.11089286289274,2167.4811796641775,338.8129571031499,2506.2941367673275,16380996543863.465,86647932239630.25,97631809974314.1,150759697878270.78,0.5747420130119466,0.6475988699124735,0.13518483410736387,0.9996575800244816,0.16778339506532894,13394880564448.432,48,2167.4811796641775,217.7069260730128,69.42247504642602,32.836427975677914,18.84712800803322
420.64044738306325,466.62047519610996,391.49897344078636,75.12150175532359,2120.072825637356,293.342433310756,2413.415258948112,19196696910858.562,106416177465378.17,118484241518919.02,174444344902985.62,0.6100293908900274,0.6792094153858188,0.12154660588273956,0.9997236925055768,0.16201898805077233,16106209507622.771,48,2120.072825637356,199.99299384820688,57.49253061313599,23.883559926363777,11.973348923049343
467.87814468276554,432.59158871088806,370.79115578289475,61.80043292799332,2070.069341650767,257.8943109402387,2327.9636525910055,22018323288945.688,127382036279360.4,140508505819795.88,197816833708586.34,0.6439393144216085,0.7102960005253437,0.11078107282869487,0.999770060947832,0.156704557923237,18872765337483.113,48,2070.069341650767,184.00314242570823,48.08876197968348,17.82832139236871,7.974085142478283
515.1158419824677,403.0598347666041,351.4110591976492,51.64877556895494,2023.4718182217396,230.58754085217282,2254.059359073912,24866805104187.83,149705042500561.78,163931157194290.16,220790271889057.03,0.6780418413352276,0.7424745474142198,0.10229878815033092,0.9998051797741163,0.15169053601394303,21680330230830.996,48,2023.4718182217396,170.07694883181588,40.85451260884962,13.867409345564079,5.788670065943255
