r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
0.87,20.9,4.7,14.208317986306474,14.208317986306474,232.04172413793108,0.0,232.04172413793108,4.05,19.26,0.0,0.0812502507723789,0.9187497492276211,0.0
1.74,36.4,3.9,24.897954735278958,29.675342311470526,356.2690517241379,149.8378110936511,506.106862817789,8.89,32.89,0.0,0.1274900160612504,0.8725099839387496,0.0
2.61,43.4,3.9,32.28693466404019,42.484031632416304,399.4046551724138,292.1252083310916,691.5298635035053,12.07,42.35,0.0,0.13975292632621839,0.8602470736737816,0.0
3.5,51.2,4.7,35.7813932093204,52.44332389324821,365.8023142857143,419.9983202777539,785.8006345634683,13.47,46.88,0.0,0.14171659149856194,0.858283408501438,0.0
4.37,59.7,3.9,38.23424315976452,60.54933489185535,334.52113272311215,504.43125991900513,838.9523926421173,14.33,50.13,0.0,0.14047122997329392,0.8595287700267061,0.0
5.24,64.5,4.4,40.229815435818246,66.64797272549572,308.86222328244276,538.8385913012254,847.7008145836681,18.1,50.81,0.0,0.20242356511576087,0.7975764348842391,0.0
6.11,67.9,3.9,41.106411908606184,70.25297413576475,276.55271685761045,531.2182119346039,807.7709287922144,21.23,49.78,0.0,0.2667355176139531,0.7332644823860469,0.0
6.55,72.8,7.3,41.418376356395235,71.40119365639715,261.90563358778627,516.4348939783711,778.3405275661573,22.41,49.26,0.0,0.29275045105401576,0.7072495489459841,0.0
6.98,70.3,6.1,41.70235664803609,72.21713407302254,249.1528008595988,498.0269203038556,747.1797211634544,23.49,48.73,0.0,0.3172815637036581,0.6827184362963419,0.0
7.85,73.7,6.1,42.06218491709626,73.16122072730818,225.37928662420384,456.47602781017923,681.8553144343831,25.32,47.5,0.0,0.3623629161519881,0.6376370838480119,0.0
8.72,77.6,6.1,42.013143181628294,73.40715262751361,202.4202064220183,415.5396624861328,617.9598689081511,26.4,46.22,0.0,0.39485487598975744,0.6051451240102427,0.0
9.16,79.1,7.3,41.61832529066974,73.23354878581856,189.09224890829694,396.40476722323865,585.4970161315356,26.4,45.5,0.0,0.4023821001856144,0.5976178998143855,0.0
