r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
1.07,22.1,7.17,13.09066079309979,13.09066079309979,160.15457943925236,0.0,160.15457943925236,1.98,18.3,0.0,0.022877430333077736,0.9771225696669222,0.0
1.78,42.7,10.66,17.79356484800053,37.74716661561346,177.87132022471914,622.6054143297096,800.4767345544287,4.03,24.51,0.0,0.05129607804152068,0.9487039219584793,0.0
2.49,60.6,7.69,20.391511714436476,56.23974531710145,166.9934738955823,1103.2510856756764,1270.2445595712588,6.25,27.45,0.0,0.09394229988787048,0.9060577001121295,0.0
2.97,76.8,11.1,21.45711070950607,67.12676185259959,155.01939393939392,1362.1530494328686,1517.1724433722625,7.78,28.28,0.0,0.13146698707840618,0.8685330129215939,0.0
3.04,81.6,17.5,21.48906931442123,68.57707743652949,151.90134868421052,1395.0774505709744,1546.9787992551849,8.01,28.2,0.0,0.13894080754021232,0.8610591924597877,0.0
3.19,87.0,8.93,21.64654475892169,71.61285972724426,146.8880564263323,1460.761372512214,1607.6494289385462,8.49,28.16,0.0,0.15382899864674204,0.846171001353258,0.0
6.95,90.0,24.8,27.479107518258303,105.72285685244807,108.64767625899279,1499.6001598623347,1608.2478361213275,17.83,29.57,0.0,0.42101487436090534,0.5789851256390948,0.0
8.58,97.8,9.4,30.729838105658807,107.77538088399767,110.06094988344988,1243.7307429709522,1353.791692854402,22.83,29.09,0.0,0.5519392491731774,0.44806075082682256,0.0
9.26,93.7,25.3,32.14365489486222,108.24862212656149,111.57824514038879,1153.839054243963,1265.4172993843517,24.91,28.73,0.0,0.6005607451037153,0.39943925489628457,0.0
9.89,103.0,23.8,33.52910824940025,108.68619970676487,113.67048533872598,1080.736997643961,1194.407482982687,26.69,28.7,0.0,0.6336554020450612,0.36634459795493884,0.0
10.08,97.4,11.0,34.03736990426845,108.84626785567941,114.93477678571428,1060.4134400903085,1175.348216876023,27.31,28.73,0.0,0.6437710034905494,0.35622899650945067,0.0
11.84,106.5,9.48,36.57767146771374,109.67561855491661,113.00051097972974,902.9404776523286,1015.9409886320583,30.86,27.77,0.0,0.7118028683274386,0.28819713167256145,0.0
14.56,112.0,11.0,35.462798112952115,109.30911769912441,86.37431662087911,734.2632666319391,820.6375832528182,30.44,25.73,0.0,0.7367892774075716,0.2632107225924284,0.0
15.43,111.5,9.4,35.464715563500576,109.30973983315762,81.51302981205444,692.8628109133251,774.3758407253796,30.7,25.11,0.0,0.749348407812531,0.25065159218746896,0.0
17.93,111.0,24.3,37.26318290216229,109.90640551875299,77.44254322364753,596.2561725628877,673.6987157865353,33.36,23.48,0.0,0.8014790736316177,0.19852092636838223,0.0
19.02,112.5,7.75,37.99044287712371,110.15510394009281,75.88190063091483,562.0858661436725,637.9677667745874,34.35,22.95,0.0,0.8175320170549766,0.18246798294502342,0.0
20.1,106.0,10.7,38.63234460914843,110.37812837719551,74.25164427860697,531.8842375150573,606.1358817936642,35.34,22.07,0.0,0.8368178924694065,0.16318210753059356,0.0
