r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
0.82,107.0,25.6,24.50672152696072,24.50672152696072,732.4139024390246,0.0,732.4139024390246,8.12,32.7,0.0,0.10978465128840578,0.8902153487115942,0.0
2.46,159.0,26.5,60.784518588206325,84.23490731218837,1501.934024390244,1382.423540606897,2884.357564997141,22.67,79.76,0.0,0.1390967802841307,0.8609032197158694,0.0
4.1,194.0,13.9,82.39705607605165,142.46122387448926,1655.9206951219512,3294.1281604432575,4950.048855565208,31.68,107.57,0.0,0.1478246826316068,0.8521753173683931,0.0
5.74,198.0,14.6,94.39728915599218,191.21917515147732,1552.4125783972127,4817.756924322536,6370.169502719749,34.72,124.14,0.0,0.1352821160167446,0.8647178839832553,0.0
7.38,211.0,13.2,102.35647707888347,220.2803932157831,1419.6271544715446,5155.366292046074,6574.993446517618,31.78,137.6,0.0,0.0964000204488976,0.9035999795511024,0.0
9.02,222.0,13.6,112.64485474268233,234.11144996890602,1406.7475942350334,4669.546308929445,6076.293903164478,23.89,155.68,0.0,0.04497897774657246,0.9550210222534276,0.0
10.65,230.0,11.6,120.1045819275851,239.542070616556,1354.4704788732395,4033.360844626018,5387.831323499257,14.68,168.58,0.0,0.014939393254981349,0.9850606067450187,0.0
12.29,239.0,11.6,124.85068061488491,242.1444877962015,1268.3232262001627,3502.5435736440013,4770.866799844164,14.98,175.29,0.0,0.014395998684205501,0.9856040013157945,0.0
13.93,237.0,11.6,127.22469276834588,243.38726646569503,1161.9614106245513,3090.54120801459,4252.5026186391415,26.72,175.91,0.0,0.04410929190764895,0.9558907080923511,0.0
15.57,240.0,11.6,130.79888703654936,245.27479753065234,1098.8021098265895,2765.0210310663133,3863.8231408929028,39.88,176.17,0.0,0.09296130292550121,0.9070386970744987,0.0
17.21,245.0,11.6,133.87144785203455,246.92700126635808,1041.3459936083673,2501.532795142127,3542.878788750494,50.51,175.33,0.0,0.14235699639292929,0.8576430036070706,0.0
18.85,249.0,11.6,134.5470664860442,247.29393950988913,960.3667427055703,2283.8928073379684,3244.2595500435386,57.09,172.3,0.0,0.1800410841059608,0.8199589158940392,0.0
20.49,248.0,11.6,133.17119658544786,246.54806228881841,865.5230649097123,2101.092211731141,2966.615276640853,60.02,168.12,0.0,0.2031287416333737,0.7968712583666262,0.0
22.13,250.0,11.6,131.19274408289508,245.4850617010558,777.7467736104836,1945.385423333537,2723.1321969440205,60.43,164.68,0.0,0.21217077190454836,0.7878292280954516,0.0
23.77,255.0,11.6,128.3023622151985,243.95260926739678,692.5324421539756,1811.1644685894473,2503.696910743423,58.91,161.19,0.0,0.21081851056412027,0.7891814894358797,0.0
25.41,244.0,14.9,125.1339624162841,242.30123393901889,616.2341027154664,1694.269162470333,2310.503265185799,57.29,157.33,0.0,0.20960770877504803,0.790392291224952,0.0
27.05,244.0,11.6,123.15285136772107,241.28407369399903,560.6885323475045,1591.548222490616,2152.2367548381203,58.0,153.64,0.0,0.22180281007544939,0.7781971899245507,0.0
28.68,249.0,11.6,122.68695957598754,241.04661264654015,524.8288023012552,1501.0941219794688,2025.9229242807241,61.94,149.77,0.0,0.25488577249110994,0.7451142275088901,0.0
