r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
3.23,194.0,16.7,209.71446576237892,209.71446576237892,13616.147724458204,0.0,13616.147724458204,-7.97,37.15,248.5,0.0014443081634145547,0.015690286136233144,0.9828654057003523
9.18,172.0,8.1,159.97319844273915,189.12581603633427,2787.736843137255,1108.6220121360946,3896.35885527335,-15.63,83.53,176.71,0.00954604549945599,0.13632029307980423,0.8541336614207399
10.64,170.0,10.7,152.98616058323708,192.8111290451176,2199.695989661654,1294.3013302305449,3493.997319892199,-16.24,92.09,164.32,0.011268542806619968,0.18117182506268692,0.807559632130693
11.58,170.0,6.8,150.1949963547388,193.5787555065102,1948.060183937824,1287.9272585016618,3235.9874424394857,-16.14,99.29,157.52,0.011547716982193491,0.21850938583896898,0.7699428971788375
12.52,171.0,6.8,148.78271243662687,193.8078908196357,1768.0747220447286,1232.0449699645237,3000.1196920092525,-16.04,107.74,151.54,0.01162261317696756,0.2621917382136575,0.7261856486093748
13.57,172.0,12.1,149.58213018271934,194.93236575511307,1648.8440434782606,1151.3495614506392,2800.1936049288997,-16.04,120.8,145.51,0.011498714751084674,0.3260952295563854,0.66240605569253
15.76,174.0,19.6,147.20163867973753,193.33870748111562,1374.8935552030457,996.9247068825119,2371.8182620855578,-15.53,131.65,135.02,0.011130575556974486,0.39993226416097777,0.5889371602820478
24.94,193.0,23.2,121.06070336818632,174.28714499899462,587.6380874097833,630.3253813913623,1217.9634688011456,18.69,111.71,107.35,0.023834838690237663,0.42574320210113015,0.5504219592086322
26.3,194.0,23.0,118.11587543594638,172.2546807546912,530.4699631178707,597.7306088175125,1128.2005719353833,21.04,108.26,104.53,0.031730354535191505,0.42003889136247896,0.5482307541023296
34.96,201.0,7.2,105.90952473691871,164.12538634196898,320.8474665331807,449.66576120997075,770.5132277431514,34.22,92.64,90.67,0.10439746954366759,0.3825577978068261,0.5130447326495065
36.84,202.0,17.1,103.92799324532346,162.85374663145018,293.18750760043423,426.7186485315031,719.9061561319373,37.39,88.8,88.32,0.1294332473238024,0.3650319284707923,0.5055348242054053
47.38,205.0,16.0,100.1544299070191,160.47188177964568,211.71190016884762,331.7922121549298,543.5041123237775,54.35,75.25,77.88,0.2944820111098536,0.2822556774991965,0.4232623113909498
64.59,204.0,16.0,94.1589695674289,156.7999571489118,137.26446121690665,243.38620547918526,380.6506666960919,61.29,63.17,66.7,0.4236974482336223,0.22504447949291803,0.35125807227345957
