r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
0.91,33.1,3.9,22.288005742999978,22.288005742999978,545.8848351648352,0.0,545.8848351648352,0.0,31.52,0.0,0.0,1.0,0.0
1.36,46.7,2.7,26.516504294495533,35.83335654137161,517.0036764705882,427.13561839783796,944.1392948684261,0.0,37.5,0.0,0.0,1.0,0.0
1.82,53.9,4.7,29.72676908108246,47.46090284155249,485.5389010989011,752.1189552391677,1237.6578563380688,0.0,42.04,0.0,0.0,1.0,0.0
2.27,58.8,2.5,32.76510949165285,57.764555156212566,472.9305726872246,997.0006310110678,1469.9312036982924,2.86,46.16,0.0,0.007619190269613296,0.9923808097303868,0.0
2.72,65.6,2.6,34.99412022040274,66.52049023370854,450.2163419117647,1176.6129304900417,1626.8292724018063,7.4,48.37,0.0,0.044717063924618924,0.9552829360753811,0.0
3.17,70.8,2.7,36.18354045695363,73.57822207410659,413.0121766561515,1294.7968970304562,1707.8090736866077,8.38,49.78,0.0,0.05363717784384112,0.9463628221561589,0.0
3.63,82.1,4.9,36.67439979058962,79.22403242893719,370.5266115702479,1358.5222353447089,1729.0488469149568,8.42,50.48,0.0,0.05271062346228093,0.947289376537719,0.0
4.08,84.1,6.6,36.975226165636904,83.51325844645878,335.0900367647058,1374.3374966531912,1709.427533417897,9.19,50.65,0.0,0.06177451502188083,0.9382254849781192,0.0
4.54,83.4,6.2,37.597553776808404,86.95766601727848,311.36036343612335,1354.1981562054073,1665.5585196415307,12.0,50.39,0.0,0.10186929808268892,0.898130701917311,0.0
4.99,81.5,2.7,37.556533386349706,89.14904724376758,282.66396793587177,1310.0319487918844,1592.6959167277562,12.98,49.84,0.0,0.11944786405209185,0.8805521359479083,0.0
5.45,80.8,4.0,37.243739742405026,90.55186711678071,254.5130550458715,1250.0081629972683,1504.52121804314,13.57,49.05,0.0,0.13275568532145376,0.8672443146785462,0.0
5.9,82.8,12.4,37.36523517924114,91.5672791554974,236.63742372881347,1184.4755613458965,1421.11298507471,15.44,48.12,0.0,0.17074938646035617,0.8292506135396439,0.0
6.36,88.2,11.7,38.91295478372209,92.8092590898106,238.08459905660376,1116.2485098741495,1354.3331089307533,20.16,47.07,0.0,0.26840625760602976,0.7315937423939702,0.0
6.81,88.5,8.5,40.53048482315502,93.83601450527541,241.22176211453743,1051.7587985659704,1292.9805606805078,24.2,45.98,0.0,0.3565062388591801,0.64349376114082,0.0
7.26,88.4,8.9,41.6882753301213,94.52725762210704,239.38185950413222,991.3898255587047,1230.771685062837,27.05,44.86,0.0,0.4210238341716092,0.5789761658283907,0.0
7.71,88.2,10.8,41.86990983988382,94.7046602304765,227.37864461738,935.9122333813227,1163.2908779987026,28.23,43.73,0.0,0.4545877253774887,0.5454122746225114,0.0
8.17,89.5,3.1,41.012432871020955,94.37803290145672,205.8775581395349,884.3566027354282,1090.234160874963,27.84,42.59,0.0,0.4607946167573012,0.5392053832426987,0.0
8.62,89.7,9.5,39.84253380496778,93.89818759147227,184.1563225058005,838.6823820143057,1022.8387045201063,26.95,41.5,0.0,0.4575342810931523,0.5424657189068477,0.0
9.07,93.7,7.3,38.96450756778533,93.53916222735894,167.390611907387,797.2813693711325,964.6719812785195,26.46,40.45,0.0,0.46114902598768026,0.5388509740123196,0.0
9.53,97.0,5.7,38.29049033376303,93.2647988861938,153.84697271773348,758.8836370705328,912.7306097882663,26.26,39.41,0.0,0.47033531398123807,0.5296646860187618,0.0
9.96,96.2,1.5,37.08311475591014,92.77729167004826,138.06801204819277,726.1514507659845,864.2194628141772,25.18,38.5,0.0,0.4610616937377495,0.5389383062622504,0.0
10.45,94.8,2.1,35.832038736304135,92.28509185095334,122.8645933014354,692.1151366448703,814.9797299463057,24.1,37.5,0.0,0.45236713696565645,0.5476328630343437,0.0
10.93,92.5,13.9,34.64725963189585,91.83180117741769,109.82914913083256,661.7243465223031,771.5534956531357,23.02,36.62,0.0,0.4414411937829746,0.5585588062170254,0.0
11.32,92.8,10.6,33.64879418344735,91.45983007866126,100.02132067137809,638.9274883407764,738.9488090121546,22.03,35.97,0.0,0.4286373218925453,0.5713626781074547,0.0
11.8,93.5,12.1,33.04233118289325,91.23847937140505,92.52505508474574,612.9376667801952,705.4627218649409,21.74,35.19,0.0,0.43289016584742757,0.5671098341525724,0.0
