r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
0.87,39.6,4.9,34.07547578537972,34.07547578537972,1334.641436781609,0.0,1334.641436781609,0.0,48.19,0.0,0.0,1.0,0.0
1.74,73.0,5.2,43.672336209550316,61.28530608742659,1096.1338793103448,1062.4228690974521,2158.556748407797,5.93,61.19,0.0,0.018437266674389736,0.9815627333256103,0.0
2.61,89.4,6.6,52.99511817139386,84.83683124135379,1076.0469540229885,1681.5346302965302,2757.5815843195187,7.31,74.23,0.0,0.019026680439940775,0.9809733195600593,0.0
3.5,102.0,5.3,60.601796178001194,102.84058940276911,1049.3079142857143,1972.4597510596989,3021.767665345413,13.47,83.56,0.0,0.04940423724731542,0.9505957627526845,0.0
4.37,110.0,4.4,64.5503384964014,113.55023144946419,953.4888329519451,1997.0043162990587,2950.493149251004,16.7,88.18,0.0,0.0669323223958301,0.93306767760417,0.0
5.24,116.0,4.4,73.29014872409525,123.18076171567525,1025.0850954198474,1870.621022300375,2895.706117720222,20.91,99.34,0.0,0.08139858580722184,0.9186014141927781,0.0
6.11,123.0,4.4,79.20757034526434,128.7928436093712,1026.8149263502453,1688.012662027487,2714.8275883777324,24.68,106.44,0.0,0.09708607131658714,0.9029139286834129,0.0
6.98,130.0,3.9,77.88796826211349,128.75780520751528,869.1311747851001,1506.0224644493483,2375.1536392344483,28.34,102.6,0.0,0.13239114594497722,0.8676088540550227,0.0
7.85,134.0,6.1,75.17024012200572,127.37926637127255,719.8171974522292,1347.1226116284852,2066.9398090807144,30.6,97.1,0.0,0.16571086254206444,0.8342891374579356,0.0
8.72,134.0,4.9,71.93058424620224,125.55990830431061,593.3496502293577,1214.5965164434506,1807.9461666728084,30.07,92.41,0.0,0.17475905216592255,0.8252409478340775,0.0
