r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
0.28,107.0,30.2,77.1473925029226,77.1473925029226,21256.143464285706,0.0,21256.143464285706,-1.6,13.69,91.46,0.0004301277491008119,0.01574470024184622,0.9838251720090531
0.55,121.0,15.6,121.74693868841219,121.7471847678721,26949.66741818181,0.10894345889622005,26949.776361640706,-2.32,26.0,143.82,0.0003631281108715832,0.022803452265642673,0.9768334196234857
0.83,134.0,8.69,138.10480415249862,138.1056305848826,22979.442084337352,0.2750231904267191,22979.71710752778,-3.04,37.95,161.88,0.00048453995490667205,0.037755131925558155,0.9617603281195352
1.39,157.0,12.5,149.43991093412762,149.44507031303388,16066.39351079137,1.1093963076534283,16067.502907099022,-4.39,60.02,171.18,0.0008629702823208121,0.08065453402121739,0.9184824956964618
1.65,168.0,11.7,153.59149543513143,153.60108322811348,14297.180284848484,1.7850296059676745,14298.965314454452,-4.98,69.62,173.79,0.0010512943919770083,0.10273151775665644,0.8962171878513665
3.04,207.0,8.04,154.33295305928672,154.56994118867462,7835.085657894737,24.081026009977823,7859.166683904715,-7.06,115.86,156.1,0.0020926281815580186,0.2817861998653795,0.7161211719530624
3.32,213.0,6.53,153.1680449049344,153.51584711788976,7066.400596385542,32.128113350393,7098.528709735934,-7.33,124.12,149.78,0.002290190514069586,0.3283350151666614,0.669374794319269
3.59,218.0,11.2,153.0308095776795,153.53678791481045,6523.239186629526,43.20795632242105,6566.447142951946,-7.54,132.68,144.22,0.0024276436637507143,0.3758574633795627,0.6217148929566867
3.87,222.0,6.05,153.88732884808937,154.62920488793952,6119.201545219637,59.14238353394845,6178.343928753586,-7.69,142.15,138.97,0.0024971633769391675,0.42663650188831326,0.5708663347347476
4.15,226.0,5.41,156.39259039353496,157.46038388242306,5893.648754216868,80.75425600000744,5974.403010216875,-7.79,153.48,134.27,0.0024810902903456456,0.4815498358857598,0.5159690738238945
4.43,229.0,5.96,159.25774910502784,160.77165901631787,5725.289085778781,109.36697355737861,5834.656059336159,-7.83,164.2,129.95,0.002417254501090153,0.5315145569955774,0.46606818850333254
4.7,232.0,7.41,161.50571438806742,163.6005256922934,5549.807612765958,144.901324849945,5694.708937615903,-7.81,172.5,126.18,0.002338440270824676,0.570390675049116,0.42727088468005925
4.97,234.0,6.1,163.06010680114252,165.92394961165766,5349.818597585514,189.56913978509186,5539.3877373706055,-7.72,178.86,122.67,0.002241502129452409,0.6015905592809391,0.3961679385896084
5.25,235.0,3.89,164.40873501733415,168.30449521734096,5148.615647619047,246.88970673598965,5395.505354355037,-7.58,184.4,119.35,0.0021256347219348617,0.6289875686472787,0.3688867966307866
5.52,236.0,9.03,166.38659540359612,171.51391466558889,5015.307813405797,313.8630061440057,5329.170819549802,-7.35,190.48,116.43,0.0019513627371881587,0.6552878242374038,0.342760813025408
