r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
1.92,26.9,8.0,19.20098174573373,19.20098174573373,192.0196354166667,0.0,192.0196354166667,-8.25,24.52,0.0,0.18461246774621845,0.8153875322537816,0.0
3.83,46.8,5.0,25.827352748588076,40.90687885216442,174.16505221932115,262.7468896672732,436.9119418865944,-11.91,32.41,0.0,0.2126491909215794,0.7873508090784206,0.0
5.75,47.6,5.0,23.323168738402593,48.259457454177024,94.60351304347827,310.43565804722124,405.0391710906995,-2.02,32.86,0.0,0.00750114620249418,0.9924988537975057,0.0
7.67,48.1,8.0,29.120661908686074,53.623587995651086,110.56231421121252,264.3384927675795,374.90080697879205,17.45,32.97,0.0,0.35907765323630964,0.6409223467636903,0.0
9.59,52.2,10.0,33.65649491554342,56.482625072078136,118.11883733055265,214.5492476572419,332.66808498779454,24.22,33.05,0.0,0.5178577820987885,0.48214221790121137,0.0
