r_kpc,vobs_kms,e_vobs_kms,vbar_kms,vmodel_kms,gbar_kms2_per_kpc,gextra_kms2_per_kpc,gtot_kms2_per_kpc,vgas_kms,vdisk_kms,vbul_kms,frac_gas,frac_disk,frac_bul
0.28,168.0,49.7,179.4948737986687,179.4948737986687,115065.74899999998,0.0,115065.74899999998,0.42,42.14,211.56,5.475130570783491e-06,0.02755846138019751,0.9724360634892317
0.37,187.0,40.2,188.67855747275576,188.67856388737195,96215.12986486485,0.006542165127521408,96215.13640702998,0.61,53.98,220.85,1.0452365205848162e-05,0.040925186794349214,0.9590643608404449
0.47,204.0,26.9,195.95405213978097,195.95406942223934,81697.85223404257,0.014410927205396466,81697.86664496978,0.79,66.33,227.4,1.6253454700639278e-05,0.05729035344012291,0.9426933931051764
0.56,218.0,23.5,201.15627917119565,201.15631082811623,72256.8725892857,0.022742817337654462,72256.89533210304,0.96,76.79,231.5,2.277588590179743e-05,0.07286385621650451,0.9271133678975936
0.65,232.0,8.63,205.15966189775222,205.1597139360061,64754.595184615384,0.03284969823780941,64754.628034313624,1.14,86.68,234.01,3.0876335643584344e-05,0.08925321324039132,0.910715910423965
0.75,243.0,4.97,209.58899582277692,209.58907967142616,58570.06289333333,0.04686335391403627,58570.10975668724,1.31,97.06,236.69,3.90666019515881e-05,0.10722933793164033,0.892731595466408
0.84,253.0,3.65,214.68039041794196,214.680512876925,54866.27384523809,0.062594166157181,54866.336439404244,1.48,105.9,240.47,4.7526811370030114e-05,0.12166822484950866,0.8782842483391213
0.93,262.0,2.86,220.36448314099985,220.36465630170315,52215.597236559144,0.08206125564513675,52215.679297814786,1.66,114.28,245.03,5.674570261572336e-05,0.13447057731746512,0.8654726769799191
1.03,269.0,3.8,225.93880636136856,225.9390552131027,49561.49924271845,0.10917532958723157,49561.60841804803,1.83,123.11,249.19,6.560251955611814e-05,0.14844822424291354,0.8514861732375303
1.12,275.0,5.39,230.05808718669292,230.05842688098187,47256.003107142846,0.13955263579338967,47256.14265977864,2.0,130.64,251.82,7.557618792539697e-05,0.1612305512020711,0.8386938726100035
1.21,280.0,5.01,233.35913605428007,233.35959474574568,45005.360644628105,0.17692553607422573,45005.53757016418,2.17,137.79,253.43,8.647087450962347e-05,0.17432344025571336,0.8255900888697769
1.3,284.0,10.0,235.78871968353363,235.78933382752012,42766.40025384616,0.22278217363166808,42766.62303601979,2.33,144.6,253.93,9.764854882078489e-05,0.18804445938050088,0.8118578920706784
1.41,287.0,6.59,237.89836527391273,237.89923408148744,40138.74624113475,0.2931748640807892,40139.039415998835,2.5,152.47,253.45,0.000110432550305534,0.20537893116776598,0.7945106362819284
1.5,289.0,3.56,239.13569352984507,239.13683735809863,38123.91994666666,0.36470775581823944,38124.28465442248,2.66,158.56,252.44,0.000123729843973694,0.21982064134687887,0.7800556288091475
1.59,290.0,6.13,240.0621051311514,240.06360104820135,36245.166238993705,0.45171586791457125,36245.61795486162,2.82,164.36,251.04,0.00013799107447827014,0.23437703139210814,0.7654849775334136
1.68,291.0,10.2,240.62813380816465,240.63007913508238,34465.41594047619,0.5572646166772898,34465.973205092865,2.97,169.88,249.18,0.00015234215433098793,0.24920784126312895,0.7506398165825401
1.78,292.0,8.61,240.9665394821447,240.96912812148892,32620.715252808983,0.7008750733418629,32621.416127882323,3.12,175.7,246.75,0.00016764696919001194,0.26582758495184966,0.7340047680789603
1.87,292.0,11.2,241.06893014239722,241.07225873913487,31077.127850267378,0.8582104750795745,31077.986060742456,3.26,180.66,244.32,0.00018287431784339863,0.280809331180067,0.7190077945020896
1.96,291.0,5.15,241.1681255473036,241.1723823079773,29674.52284693877,1.047555155703533,29675.570402094472,3.39,185.38,241.92,0.00019758755201468973,0.29543091815936734,0.704371494288618
2.05,291.0,4.92,241.37538414262545,241.38079775848828,28420.524912195124,1.2748568410852823,28421.79976903621,3.5,189.88,239.71,0.0002102568398915621,0.30941580554631964,0.6903739376137888
2.16,291.0,9.32,241.6181818903536,241.6254012735407,27027.474916666662,1.6151484257277404,27029.09006509239,3.61,195.08,237.06,0.0002232313469250177,0.3259389589371045,0.6738378097159705
2.25,290.0,7.19,241.80274694469458,241.8118346609515,25986.030413333334,1.95331204237834,25987.98372537571,3.7,199.1,234.93,0.00023414289707451968,0.3389924797582392,0.6607733773446862
2.34,290.0,12.2,242.0099734928294,242.02136402851804,25029.41336324786,2.3561436856654585,25031.769506933524,3.76,202.92,232.89,0.0002413843790114871,0.3515225446650812,0.6482360709559073
2.43,290.0,7.94,242.35786232346578,242.37207390159608,24171.742152263374,2.834887802778313,24174.577040066153,3.79,206.55,231.12,0.0002445480439985987,0.36316683111639175,0.6365886208396098
2.46,290.0,5.16,242.5267489989506,242.54202893071604,23910.253650406503,3.0129340765457084,23913.266584483048,3.79,207.71,230.63,0.0002442075741237959,0.36674611785655187,0.6330096745693243
2.53,290.0,3.56,242.8784231256453,242.89649801786464,23316.17724110672,3.4704859061342104,23319.647727012856,3.79,210.36,229.44,0.00024350088879121243,0.37507529492947306,0.6246812041817357
2.62,290.0,3.79,243.28161264263275,243.30398294717796,22590.054599236642,4.154606091852223,22594.209205328494,3.8,213.61,227.9,0.00024397685085124278,0.3854735579819405,0.6142824651672083
2.71,290.0,5.65,243.76948106766773,243.79706016904404,21927.512878228787,4.961862386890311,21932.47474061568,3.81,216.71,226.55,0.00024428189802879846,0.3951566026928656,0.6045991154091056
2.8,290.0,9.38,244.13411492456353,244.16801685861054,21286.237882142857,5.912280952401326,21292.15016309526,3.84,219.64,225.09,0.00024740331022531846,0.4047025415729006,0.595050055116874
2.99,290.0,10.6,244.42281843150408,244.4749436533987,19980.773969899667,8.523044927244468,19989.297014826912,3.94,225.37,221.46,0.0002598417595186386,0.4250878759091902,0.5746522823312911
3.28,291.0,15.3,244.03774896519596,244.13636614973544,18156.836256097562,14.677547804174592,18171.513803901737,4.12,233.01,215.11,0.00028502333105975803,0.45583230797931806,0.5438826686896222
3.74,292.0,18.8,241.7995324230384,242.0588404364584,15632.891411764705,33.547688086318516,15666.439099851024,4.56,241.64,204.42,0.00035564669067378064,0.4993404462201687,0.5003039070891574
3.83,292.0,15.2,241.2246439939336,241.53237214140242,15193.03625848564,38.78796925663222,15231.824227742272,4.69,242.91,202.36,0.00037800917156376206,0.5070110726987664,0.4926109181296698
4.02,292.0,19.8,240.0492536959863,240.48925427109313,14334.23985074627,52.59632334987217,14386.83617409614,5.12,245.41,198.15,0.00045492436939626954,0.5225812158891541,0.4769638597414497
4.09,292.0,2.4,239.57248930125513,240.07300707891213,14033.001865525674,58.697089953885836,14091.69895547956,5.35,246.19,196.62,0.0004986934603323059,0.5280036564411846,0.471497650098483
4.12,292.0,9.0,239.36524116922237,239.89397966510828,13906.727834951454,61.50553387461043,13968.233368826064,5.4,246.51,195.97,0.0005089385502407317,0.5302942479820205,0.46919681346773884
4.3,291.0,8.71,237.99109304761805,238.72424902007026,13172.037295348835,81.28062795268153,13253.317923301516,6.12,248.01,192.16,0.0006612739841293225,0.5429839365332048,0.45635478948266606
4.39,291.0,7.92,237.20380087595558,238.06412052626814,12816.775205011389,93.13948335889155,12909.91468837028,6.56,248.54,190.25,0.0007648290784711309,0.5489329557232654,0.4503022151982635
4.49,291.0,8.84,236.36626603642068,237.3913125278947,12442.987020044544,108.15669125090629,12551.14371129545,7.04,249.06,188.24,0.0008871035744893609,0.5551457032288453,0.44396719319666533
4.58,290.0,4.2,235.58965115216753,236.78713568828584,12118.44622925764,123.5074011927277,12241.953630450369,7.58,249.41,186.48,0.0010352041231074473,0.5603834632212774,0.43858133265561516
4.87,289.0,10.6,233.066117271473,235.0227402903253,11153.966123203285,188.06436007673344,11342.030483280018,9.59,250.14,181.04,0.0016930856624997395,0.5759410224147703,0.4223658919227299
4.91,288.0,2.26,232.7163701160707,234.80435676058605,11029.9203503055,198.8140598274059,11228.734410132905,10.06,250.19,180.31,0.0018687107890425739,0.577904438678957,0.4202268505320004
4.96,288.0,6.97,232.27714334389424,234.5405376526932,10877.554701612902,213.0226779061288,11090.57737951903,10.42,250.25,179.41,0.00201243788942386,0.5803703595004868,0.4176172026100894
5.05,287.0,3.23,231.52526790827818,234.13790962675625,10614.643500990098,240.9130780964538,10855.556579086551,11.18,250.32,177.88,0.0023317759371495627,0.5844728119295556,0.4131954121332949
5.14,287.0,10.2,230.74740936790602,233.7570474387739,10358.826250972765,271.98254811151435,10630.80879908428,12.03,250.34,176.33,0.002718050910254291,0.5885140458369236,0.4087679032528221
5.24,286.0,10.3,229.9022716938656,233.41503226847104,10086.842467557251,310.59594635331416,10397.438413910566,12.78,250.33,174.68,0.0030901188439280943,0.5928014780916735,0.40410840306439844
5.33,286.0,17.8,229.1313449312424,233.159165007181,9850.126309568479,349.34765419246975,10199.47396376095,13.42,250.26,173.23,0.0034303309606248966,0.5964635049737536,0.4001061640656216
5.42,285.0,11.4,228.38761849102067,232.99531218181014,9623.783077490776,392.2345421954156,10016.017619686192,14.16,250.17,171.83,0.0038439824379517067,0.5999227751501702,0.39623324241187796
5.51,285.0,12.0,227.6350997100403,232.89466638686926,9404.308279491832,439.598368684418,9843.90664817625,14.91,250.09,170.39,0.004290193009584485,0.6035096259088739,0.39220018108154175
5.61,284.0,4.03,226.86291598672534,232.93805998388083,9174.114554367201,497.9246237173031,9672.039178084504,15.66,250.01,168.9,0.004764929676442481,0.6072363268272025,0.38799874349635494
5.71,284.0,4.73,226.1713733433124,233.1666758087977,8958.579705779335,562.7335530166309,9521.313258795966,16.4,249.99,167.49,0.0052579012569631475,0.6108576360419804,0.3838844627010565
5.8,283.0,6.44,225.5537301398494,233.47649756538203,8771.462962068967,627.0327129996267,9398.495675068592,17.15,249.96,166.22,0.0057813361444220895,0.6140602836464909,0.38015838020908693
5.89,283.0,4.96,224.9141848127859,233.86788979153525,8588.521312393888,697.4192437259203,9285.94055611981,17.89,249.9,164.93,0.006326841995382033,0.6172609801342155,0.3764121778704024
5.98,283.0,5.37,224.317046320604,234.41096937644062,8414.404225752507,774.3085775924067,9188.712803344913,18.64,249.84,163.71,0.006905056881093087,0.6202537393729718,0.37284120374593505
