galaxy,n,sigma_kpc,ups_disk,ups_bul,a0_kms2_per_kpc,r_t_kpc,r_near_half_rt_kpc,frac_gas_half_rt,frac_disk_half_rt,frac_bul_half_rt,r_near_rt_kpc,frac_gas_rt,frac_disk_rt,frac_bul_rt,frac_bul_peak,r_bul_peak_kpc,q_best_kms2,v_extra_asym_kms,chi2,chi2_red,gbar_inner_kms2_per_kpc,gbar_rt_kms2_per_kpc,gbar_half_rt_kms2_per_kpc,gbar_1kpc_kms2_per_kpc,gbar_2kpc_kms2_per_kpc,s_in_dlng_dlnr,vobs_outer_kms,outer_resid_mean_z,outer_resid_rms_z,outer_chi2,sparc_T,sparc_D_mpc,sparc_e_D_mpc,sparc_Inc_deg,sparc_e_Inc_deg,sparc_L36_1e9solLum,sparc_e_L36_1e9solLum,sparc_Reff_kpc,sparc_SBeff_solLum_pc2,sparc_Rdisk_kpc,sparc_SBdisk_solLum_pc2,sparc_MHI_1e9solMass,sparc_RHI_kpc,sparc_Vflat_kms,sparc_e_Vflat_kms,sparc_Q_flag,env_twompp_delta_external,env_twompp_in_twompp_grid
ESO116-G012,15,2.0,0.5,0.7,3702.813097789641,1.85,0.83,0.005273945666639754,0.9947260543333603,0.0,1.85,0.013002561572128793,0.9869974384278711,0.0,0.0,0.25,9946.898754245947,99.7341403645008,36.05343720836129,2.575245514882949,600.8513999999998,1043.4575945945942,781.7887638546678,813.1700758249517,971.0602722040552,-0.06492646589984673,110.0,0.17733091323695674,0.5891766767852832,2.7770332517420004,7.0,13.0,3.9,74.0,3.0,4.292,0.071,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1.0,1.6333419191745693,True
ESO444-G084,7,2.0,0.5,0.7,3702.813097789641,0.77,0.26,0.37894890203728127,0.6210510979627187,0.0,0.77,0.5494912872869089,0.45050871271309123,0.0,0.0,0.26,5614.171628489408,74.92777608129984,113.96521846150802,18.994203076918,213.83134615384617,315.29162337662325,246.06351336543898,303.1191383751443,232.38660269789193,-0.6968318149148257,58.0,-0.1958041399089182,3.629037470086527,52.67965183716808,10.0,4.83,0.48,32.0,6.0,0.071,0.003,0.75,19.81,0.46,66.81,0.135,2.95,0.0,0.0,2.0,0.718274116223386,True
ESO563-G021,30,2.0,0.5,0.7,3702.813097789641,2.758477209078409,1.34,0.0,1.0,0.0,3.12,0.0,1.0,0.0,0.0,0.45,48446.31408132123,220.10523410705443,708.547864825695,24.432684993989483,4721.929,3702.81309778964,5315.526415012799,5200.899679262866,4461.059210880138,-0.4482125440617157,320.0,-2.2633265331597143,3.480605434507843,290.7507405774127,4.0,60.8,9.1,83.0,3.0,311.177,2.579,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1.0,0.7835838360004715,True
F561-1,6,2.0,0.5,0.7,3702.813097789641,1.61,1.61,0.06219859918473482,0.9378014008152652,0.0,1.61,0.06219859918473482,0.9378014008152652,0.0,0.0,1.61,984.644045421609,31.379038312567978,3.093999074560646,0.6187998149121292,271.06220496894406,271.06220496894395,nan,nan,265.36791061328586,-0.09967880438769325,49.2,-0.0776218490575664,0.7785910043302025,3.031019760119567,9.0,66.4,10.0,24.0,10.0,4.077,0.327,5.39,22.12,2.79,93.07,1.622,10.69,50.0,2.9,3.0,5.582815688190649,True
F563-1,17,2.0,0.5,0.7,3702.813097789641,1.78,1.07,0.022877430333077736,0.9771225696669222,0.0,1.78,0.05129607804152068,0.9487039219584793,0.0,0.0,1.07,10690.873174052653,103.39667873801679,9.88447597761689,0.6177797486010557,160.15457943925236,177.87132022471914,nan,nan,174.01684089233578,-0.31304715574342945,111.5,0.315334141654601,0.5629458229648158,3.48598799552887,9.0,48.9,9.8,25.0,5.0,1.903,0.17,4.61,14.22,3.52,41.77,3.2,23.47,109.9,12.5,1.0,3.0771310845985687,True
F563-V1,6,2.0,0.5,0.7,3702.813097789641,3.93,1.31,0.262020768026024,0.737979231973976,0.0,3.93,0.4096791285845747,0.5903208714154253,0.0,0.0,1.31,291.77198193865667,17.081334313766494,3.3800020594061255,0.6760004118812251,63.26519083969466,118.11148854961827,77.39205952784006,nan,78.07423574239405,-0.06414531095707438,28.6,0.771357258057531,0.771357258057531,0.5949920195580324,10.0,54.0,10.8,60.0,10.0,1.54,0.165,5.01,9.75,3.79,40.63,0.61,6.83,0.0,0.0,3.0,3.257916942301061,True
F563-V2,10,2.0,0.5,0.7,3702.813097789641,2.35,1.46,0.06227112435355519,0.9377288756464448,0.0,2.35,0.08716893969743862,0.9128310603025613,0.0,0.0,0.28,15154.424519776228,123.10330832181656,20.189846744118526,2.2433163049020584,72.30964285714283,331.45517021276584,233.71254071668312,208.3657426703122,322.5383267248059,0.21544565972087754,117.0,0.4754377061490338,0.941611337967558,4.433159558945273,10.0,59.7,11.9,29.0,10.0,2.986,0.267,4.49,23.6,2.43,146.16,2.169,11.37,116.6,9.4,1.0,2.0508169921279293,True
F565-V2,7,2.0,0.5,0.7,3702.813097789641,7.54,3.78,0.5426530605882042,0.4573469394117959,0.0,7.54,0.7437539982298248,0.2562460017701752,0.0,0.0,1.26,8654.423965188587,93.02915653271606,61.92700612167659,10.321167686946099,77.35714285714286,108.96732095490717,106.05593717626127,nan,94.79125634634075,0.023596339894558727,73.5,nan,nan,0.0,10.0,51.8,10.4,60.0,10.0,0.559,0.098,3.57,6.93,2.17,40.26,0.699,7.31,0.0,0.0,2.0,1.2824293493882735,True
F567-2,5,2.0,0.5,0.7,3702.813097789641,1.92,1.92,0.18461246774621845,0.8153875322537816,0.0,1.92,0.18461246774621845,0.8153875322537816,0.0,0.0,1.92,2057.52728503295,45.35997448227843,2.992848377851541,0.7482120944628853,192.0196354166667,192.01963541666674,nan,nan,190.91498946418753,-0.39627433207326784,47.6,0.4168674991665345,0.47522740901463245,0.6775232708362824,9.0,79.0,11.8,20.0,10.0,2.134,0.305,5.43,11.5,3.08,46.65,2.449,14.94,0.0,0.0,3.0,0.41930440568447996,True
F568-1,12,2.0,0.5,0.7,3702.813097789641,1.32,0.44,0.05443368285434611,0.9455663171456538,0.0,1.32,0.06680299931833673,0.9331970006816632,0.0,0.0,0.44,14374.62947962484,119.89424289608255,1.0000441938798474,0.09091310853453159,180.6368181818182,329.46375,225.49354382674406,283.0411919106623,313.3329111783223,-0.40395837358524905,130.0,-0.0012056852619940401,0.19713717688207372,0.34976759858130624,5.0,90.7,9.7,26.0,5.0,6.252,0.564,7.0,20.36,5.18,57.13,4.498,16.31,0.0,0.0,1.0,0.004554397846797786,True
