x,y,controls,n,pearson_partial,spearman_partial
sparc_SBdisk_solLum_pc2,outer_chi2,sparc_Vflat_kms,175,-0.08524273608945149,0.10556365484401795
sparc_SBeff_solLum_pc2,chi2_red,sparc_Vflat_kms,175,0.11117497051971639,0.10279638084228748
sparc_Rdisk_kpc,outer_resid_mean_z,sparc_Vflat_kms,153,0.01798052557214713,0.08600213477965574
frac_gas_half_rt,outer_resid_rms_z,sparc_Vflat_kms,153,-0.05929690426984791,-0.08319400064140448
frac_bul_peak,outer_chi2,sparc_Vflat_kms,175,-0.013365727082618746,-0.08144524967681148
frac_disk_rt,q_best_kms2,sparc_Vflat_kms,175,-0.2068534826309936,-0.08101070593901508
frac_disk_rt,v_extra_asym_kms,sparc_Vflat_kms,175,-0.15856195666854261,-0.08101070593901508
sparc_SBdisk_solLum_pc2,outer_resid_rms_z,sparc_Vflat_kms,153,-0.1194197584971505,0.07861481486418825
frac_bul_half_rt,outer_resid_rms_z,sparc_Vflat_kms,153,0.10094666099359778,0.07786815427816302
frac_bul_rt,outer_resid_rms_z,sparc_Vflat_kms,153,0.10577555051538026,0.07764513297602008
frac_disk_half_rt,q_best_kms2,sparc_Vflat_kms,175,-0.2293426755772669,-0.0723873728178188
frac_disk_half_rt,v_extra_asym_kms,sparc_Vflat_kms,175,-0.18177855728870085,-0.0723873728178188
sparc_L36_1e9solLum,outer_chi2,sparc_Vflat_kms,175,-0.14502237224678083,-0.07229379626364492
frac_bul_rt,outer_chi2,sparc_Vflat_kms,175,0.031141489162601316,-0.0722151234278305
sparc_MHI_1e9solMass,outer_resid_mean_z,sparc_Vflat_kms,153,-0.08371036214437086,-0.07171338754026178
sparc_MHI_1e9solMass,outer_resid_rms_z,sparc_Vflat_kms,153,-0.012637258596938405,-0.07066887367385458
frac_bul_half_rt,outer_chi2,sparc_Vflat_kms,175,0.028168540925605473,-0.06829868833224532
frac_gas_rt,q_best_kms2,sparc_Vflat_kms,175,0.10939193051011861,-0.06678465385788407
frac_gas_rt,v_extra_asym_kms,sparc_Vflat_kms,175,0.045325198644684185,-0.06678465385788407
frac_bul_peak,outer_resid_rms_z,sparc_Vflat_kms,153,0.05211718753412411,0.06548592453453005
frac_disk_half_rt,outer_resid_mean_z,sparc_Vflat_kms,153,-0.01581458972400274,-0.06058215908901096
frac_gas_rt,outer_resid_rms_z,sparc_Vflat_kms,153,-0.030343280015454763,-0.059610887384133615
sparc_T,outer_resid_rms_z,sparc_Vflat_kms,153,-0.06027506790928741,-0.044393257926166205
sparc_MHI_1e9solMass,chi2_red,sparc_Vflat_kms,175,-0.11441766036568456,-0.04308121671185043
sparc_SBdisk_solLum_pc2,outer_resid_mean_z,sparc_Vflat_kms,153,-0.03538242334108241,-0.04105523306777701
sparc_T,outer_resid_mean_z,sparc_Vflat_kms,153,0.010374656037721617,-0.039141318085449586
sparc_SBdisk_solLum_pc2,q_best_kms2,sparc_Vflat_kms,175,-0.0763866784412976,0.033170431873706455
sparc_SBdisk_solLum_pc2,v_extra_asym_kms,sparc_Vflat_kms,175,-0.02984728663285553,0.033170431873706455
frac_disk_rt,outer_resid_rms_z,sparc_Vflat_kms,153,-0.04653248514858508,-0.030692340093139772
frac_gas_rt,chi2_red,sparc_Vflat_kms,175,0.23562988989685305,0.02783543243129844
sparc_L36_1e9solLum,outer_resid_mean_z,sparc_Vflat_kms,153,-0.1048282791454408,0.018421868189429737
frac_gas_half_rt,chi2_red,sparc_Vflat_kms,175,0.1827933314313815,-0.016997215156644135
sparc_SBeff_solLum_pc2,r_t_kpc,sparc_Vflat_kms,175,0.346236614221335,0.016523189745772653
frac_disk_half_rt,outer_resid_rms_z,sparc_Vflat_kms,153,-0.04321895525139421,-0.016155821217082412
sparc_L36_1e9solLum,chi2_red,sparc_Vflat_kms,175,0.03246499361971246,-0.013078947818410474
frac_bul_half_rt,outer_resid_mean_z,sparc_Vflat_kms,153,0.009985299004506912,-0.007875107183289006
frac_bul_rt,outer_resid_mean_z,sparc_Vflat_kms,153,-0.0020048681087131417,-0.0074659789160495425
sparc_T,outer_chi2,sparc_Vflat_kms,175,-0.0580139738254415,0.007428911519289029
frac_bul_peak,outer_resid_mean_z,sparc_Vflat_kms,153,-0.009583978548464142,-0.004551979828225309
