x,y,controls,n,pearson_partial,spearman_partial
sparc_T,outer_resid_rms_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,-0.1610929251754237,-0.15031031951655865
frac_gas_rt,outer_resid_mean_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,0.15041013238467424,0.14417490683841985
frac_gas_half_rt,outer_resid_rms_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,-0.11486481384441279,-0.13660197622747158
sparc_SBdisk_solLum_pc2,outer_chi2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,-0.015073588060998809,0.1361872741615048
frac_bul_half_rt,outer_resid_rms_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,0.16968587599960264,0.13104899097070166
frac_bul_rt,outer_resid_rms_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,0.17169145708574893,0.13066371125918885
frac_disk_half_rt,outer_chi2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.006516675070155696,0.13064727639670168
sparc_MHI_1e9solMass,r_t_kpc,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,-0.17525250681490878,-0.12385860520485108
frac_gas_half_rt,outer_resid_mean_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,0.053366413800289544,0.12298845823722675
frac_bul_peak,outer_resid_rms_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,0.11956963638361341,0.11711463911390968
sparc_MHI_1e9solMass,outer_resid_rms_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,0.08725848494924267,0.11363067305677935
frac_gas_rt,outer_resid_rms_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,-0.09445974336474001,-0.10601435667471514
frac_disk_rt,outer_resid_mean_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,-0.0989714873741559,-0.08785882495222572
sparc_SBeff_solLum_pc2,chi2_red,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.1384353343869853,0.08723619296342203
sparc_T,outer_chi2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,-0.1867001291339978,-0.08117721005360362
sparc_SBdisk_solLum_pc2,outer_resid_rms_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,-0.0878622444876415,0.07509313471279289
sparc_T,r_t_kpc,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,-0.28579147845159636,-0.07501821933110858
sparc_SBdisk_solLum_pc2,r_t_kpc,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.22827850735602262,-0.06427610220766722
sparc_SBeff_solLum_pc2,r_t_kpc,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.4712297577452965,-0.058381036489717944
frac_gas_rt,v_extra_asym_kms,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,-0.2641524057740813,0.05628694426607809
frac_gas_rt,q_best_kms2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,-0.14474531633758786,0.05628694426607809
frac_disk_rt,outer_resid_rms_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,-0.038812144475441554,-0.05049744273584796
sparc_MHI_1e9solMass,chi2_red,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,-0.09996025933028578,0.05046043454976467
frac_disk_half_rt,outer_resid_rms_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,-0.06219678219816766,-0.044318820670593215
frac_disk_half_rt,outer_resid_mean_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,-0.02250955887303898,-0.036961478017412674
frac_gas_rt,chi2_red,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.16259105831281292,0.036427815611268
sparc_T,outer_resid_mean_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,0.058139977476837926,-0.03436240237648082
frac_bul_peak,outer_chi2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.08033785155985754,-0.031125293110173362
frac_bul_half_rt,outer_resid_mean_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,-0.015198135634705652,-0.024227807460632758
frac_bul_rt,outer_resid_mean_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,-0.031324341052295125,-0.02370875605965789
frac_bul_rt,outer_chi2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.10816715391319418,-0.02200248472845297
frac_bul_peak,outer_resid_mean_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,-0.026682914208720078,-0.019931496297214094
frac_bul_half_rt,outer_chi2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.11252947480219547,-0.017737946753805307
frac_gas_half_rt,v_extra_asym_kms,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,-0.25116046283693594,0.007937627942216747
frac_gas_half_rt,q_best_kms2,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,-0.1320430057085167,0.007937627942216747
sparc_SBdisk_solLum_pc2,outer_resid_mean_z,sparc_L36_1e9solLum+sparc_Rdisk_kpc,153,-0.02314873391616836,0.004657470619413373
frac_gas_half_rt,chi2_red,sparc_L36_1e9solLum+sparc_Rdisk_kpc,175,0.12767608494115856,-0.0017525632324254287
