r_kpc,g_bar_total,g_bar_gas,g_bar_galaxies,g_resp_ground,g_resp_higher,g_resp_total,m_eff_bary_msun,m_eff_ground_msun,m_eff_full_msun,m_obs_analog_msun,closure_ground,closure_full,higher_mode_fraction,mean_activation,baryon_fraction_full,gas_mass_enclosed_msun,shell_directions,time_memory_enabled,memory_factor_mean,mode_1,memory_factor_mode_1,memory_factor_mode_2,memory_factor_mode_3,memory_factor_mode_4,memory_factor_mode_5,mode_2,mode_3,mode_4,mode_5
89.9765662851472,1413.7315995605695,364.9382423049603,1048.7933572556094,2133.1930952673297,264.4121492153661,2397.605244482696,2661132208561.6753,6676539980915.182,7174255167327.325,17901925601172.656,0.3729509400082547,0.4007532668361318,0.11028176962151054,0.9971962767024114,0.3709280122459103,686940088935.8893,48,1,0.7128329358591368,2133.1930952673297,0.7913690917764664,0.7382181720730853,0.7030405929437075,0.6764711645208633,0.6550656579815612,315.28862358812125,46.943538975585355,-25.404122696085658,-72.41589065225483
137.2142635848495,912.6125563019021,444.4121412698142,468.2004150320879,1949.9406280768544,481.53050897063224,2431.4711370474865,3995081221845.796,12531202200184.564,14639165191544.088,36000501081297.69,0.34808410504859727,0.40663781758163237,0.19804080814849828,0.9986138445771969,0.27290362323074574,1945472465929.9707,48,1,0.7622437942884291,1949.9406280768544,0.8300658613416214,0.7849690114269484,0.7542842489292244,0.7306309630349246,0.711268886709427,253.11000648213013,88.23831658875307,65.98435369691484,74.19783220283418
184.4519608845518,740.0104527920331,471.01792500971357,268.99252778231966,1865.1697121398136,515.3575043401851,2380.5272164799985,5853896807008.536,20608433018259.516,24685199282495.957,56982892139339.58,0.36166000433719586,0.43320369247200613,0.21648881003016887,0.9989788215129661,0.23714197078244692,3726015378370.6577,48,1,0.792996434609504,1865.1697121398136,0.8531795667709737,0.8135608692282696,0.7861982830475218,0.7648481633567945,0.7471952906439601,237.7211889600902,103.3474392467187,84.06115975996175,90.22771637341447
231.68965818425403,647.9367520621113,469.6573245659976,178.27942749611373,1827.9469615812523,432.4201206039191,2260.3670821851715,8086983691853.762,30901829771867.695,36298922084078.61,79600131301643.6,0.38821330149275307,0.4560158568900389,0.19130526365031128,0.9992433310979005,0.22278853551414038,5861854744984.128,48,1,0.814432474414815,1827.9469615812523,0.8689173868240451,0.8332673300740111,0.808430968357222,0.7889015256730086,0.7726451611457884,222.80743923163132,92.2440279432821,63.11479350537906,54.2538599236266
278.9273554839564,583.6504206661028,455.0909937562362,128.55942690986657,1807.2609659101804,380.56193749685616,2187.8229034070364,10557854595971.764,43250024119774.77,50134140807753.12,103071563828058.17,0.41961160298221106,0.4864012822332437,0.1739454948132308,0.999428177652173,0.21059211199923503,8232298598416.289,48,1,0.8304383222853389,1807.2609659101804,0.8805011121050594,0.847870813274928,0.8250171933201965,0.8069543140221902,0.79184817870432,210.1699749866273,81.68001167068128,50.135401733771175,38.5765491057764
326.16505278365867,532.1463617429409,434.99518207716665,97.15117966577424,1786.9435717097956,325.97710324202626,2112.920674951822,13162749158765.035,57363164093943.75,65426274452195.78,126898871555280.16,0.4520384097265593,0.5155780634636656,0.15427796561717066,0.999564063768571,0.2011844517966937,10759694848236.03,48,1,0.8429596688217188,1786.9435717097956,0.8894800741699754,0.8592355192605022,0.8379813526042816,0.8211235211460741,0.8069778769277606,196.28726547181813,69.15917741608892,36.66892602987323,23.861734324246004
373.4027500833609,489.22000820569923,413.1836864637965,76.03632174190273,1767.8067641676428,282.35225497569706,2050.1590191433397,15859879744376.13,73169887963019.7,82323382779987.86,150759697878270.78,0.48534116871274113,0.5460569630914155,0.1377221241568267,0.9996586924351263,0.19265340185014285,13394880564448.432,48,1,0.8530916242320601,1767.8067641676428,0.8967013788231253,0.868397648572493,0.8484635979527869,0.8326138916455952,0.8192816041662994,182.55348892936559,57.95842980280263,26.789596521313936,15.050739722214889
420.64044738306325,452.8380447666771,391.49897344078636,61.33907132589075,1750.182843124532,247.58596228487417,1997.768805409406,18629689773982.234,90631951491979.08,100817601136625.45,174444344902985.62,0.519546515207372,0.5779356229214166,0.12393123849690704,0.9997239992978912,0.1847860846117113,16106209507622.771,48,1,0.8615031325900855,1750.182843124532,0.9026715230265665,0.8759838300053086,0.857160297059808,0.8421672962085908,0.8295327166501538,169.56380179005083,48.5507743755099,19.752532825741618,9.718853293571808
467.87814468276554,421.84498678584623,370.79115578289475,51.053831002951455,1735.628120390786,220.28451436512262,1955.9126347559086,21471335872596.92,109812445735669.05,121024627801652.86,197816833708586.34,0.55512184517845,0.6118014606377744,0.1126249252910079,0.999769896717996,0.17741294695643495,18872765337483.113,48,1,0.8686284542540326,1735.628120390786,0.9077140676962836,0.8823975662205722,0.8645232742706317,0.8502682436377458,0.8382391194449298,157.84413285521705,40.99992787992075,14.896146664119074,6.544306965865738
515.1158419824677,395.6785847381225,351.4110591976492,44.26752554047326,1725.7944525345504,199.28434689536053,1925.078799429911,24411418359959.594,130884429559191.47,143179291480702.1,220790271889057.03,0.5927998024521589,0.6484855073354273,0.10352009847824213,0.9998048152529987,0.17049545438803768,21680330230830.996,48,1,0.8747631257385295,1725.7944525345504,0.9120465323492621,0.8879116609648513,0.8708597992561091,0.8572479748950735,0.845749661227352,147.69183169504893,35.12919515128213,11.679952465899284,4.7833675831301825
562.3535392821701,372.6743634322483,333.45930934228835,39.21505408995989,1714.6184317823902,181.63565984087262,1896.2540916232629,27402427602302.582,153476856253020.06,166832371166754.72,243310896975740.53,0.6307849675484225,0.6856757064332751,0.09578656185542406,0.9998338444468595,0.16425126257369385,24518978172822.668,48,1,0.8801160180576091,1714.6184317823902,0.9158212048002493,0.8927178894041454,0.8763868651772582,0.8633414166898133,0.8523127142165792,138.43276235076274,30.30110891968437,9.302788855111634,3.598999715313866
609.5912365818724,351.39988588529997,316.9135954464296,34.48629043887041,1697.5872859978863,165.01442813264092,1862.6017141305272,30361253728733.33,177034261851670.0,191291651004813.5,265347528583996.38,0.6671788608561673,0.7209098649820651,0.0885935124405652,0.9998566965206546,0.15871708759505318,27381608440746.24,48,1,0.8848393937073856,1697.5872859978863,0.9191482864516969,0.8969554415899307,0.8812625311096971,0.8687202915393899,0.8581104178462138,129.37253247837833,25.928111430993127,7.19257810471318,2.5212061185562855
656.8289338815746,332.130703424062,301.69435816891183,30.43634525515016,1678.1646911149835,149.5308723126021,1827.6955634275855,33316105719727.76,201653184128632.7,216652659633217.6,286884474610753.44,0.7029072744429162,0.755191301053057,0.0818138837258969,0.9998708573660854,0.1537765831083279,30263029067106.387,48,1,0.8890471575977964,1678.1646911149835,0.9221097422363976,0.9007280706697519,0.8856049495052379,0.8735133354442378,0.8632796901333569,120.7992823392206,21.94903567051429,5.270180001656733,1.512374301210468
704.0666311812769,314.24442812589024,287.6988185532395,26.545609572650747,1656.7483667269255,136.73652062041145,1793.484887347337,36218942375189.93,227171170176134.47,242931042802899.56,307916690105893.06,0.7377682908257098,0.7889505525645757,0.07624068738190055,0.9998762513605495,0.14909145392577894,33159368943259.55,48,1,0.8928264110361661,1656.7483667269255,0.9247679633975244,0.9041148815663178,0.8895044066990568,0.8778191558967469,0.8679256476211847,113.23687534376275,18.807750586645355,3.871203744152215,0.8206909458511435
