r_kpc,g_bar_total,g_bar_gas,g_bar_galaxies,g_resp_ground,g_resp_higher,g_resp_total,m_eff_bary_msun,m_eff_ground_msun,m_eff_full_msun,m_obs_analog_msun,closure_ground,closure_full,higher_mode_fraction,mean_activation,baryon_fraction_full,gas_mass_enclosed_msun,shell_directions,time_memory_enabled,memory_factor_mean,mode_1,memory_factor_mode_1,memory_factor_mode_2,memory_factor_mode_3,memory_factor_mode_4,memory_factor_mode_5,mode_2,mode_3,mode_4,mode_5
89.9765662851472,1385.8872079143468,364.9382423049603,1020.9489656093866,2145.1174897301044,266.24899431727454,2411.366484047379,2608719425639.797,6646573035790.482,7147745800475.862,17901925601172.656,0.3712769890717847,0.39927245591991806,0.11041415565766122,0.9971938802964303,0.3649709290817422,686940088935.8893,48,1,0.7772926569451185,2145.1174897301044,0.8156420438466037,0.789200674871646,0.7723212129661594,0.7597156173216567,0.7495837357195267,328.0063301270805,50.31519578507261,-28.841281431166458,-83.23125016371212
137.2142635848495,887.4294768393257,444.4121412698142,443.01733556951166,1970.4663187296512,507.5645086354269,2478.030827365078,3884838986874.9375,12510813869508.748,14732744110685.46,36000501081297.69,0.3475177704125939,0.40923719582167545,0.2048257443088901,0.9985524862414255,0.26368739982779693,1945472465929.9707,48,1,0.8181322565389465,1970.4663187296512,0.8502243353845322,0.8282529930134034,0.8140669709824961,0.803382197510979,0.794734785803322,259.1940930084828,93.27336944621929,72.12019263919794,82.97685354152682
184.4519608845518,742.0327313097091,471.01792500971357,271.01480629999554,1918.098724380622,551.38098291183,2469.4797072924516,5869894161792.972,21043128480057.926,25404860619292.84,56982892139339.58,0.3692885301188542,0.44583312052976604,0.2232781995671333,0.9989755693595285,0.23105398017162448,3726015378370.6577,48,1,0.8427030423199005,1918.098724380622,0.8707112279094301,0.85159839518546,0.8391952433023251,0.8298145635497782,0.8221957816525094,249.80578937488988,110.61505842603188,91.40225595222054,99.55787915868763
231.68965818425403,647.5688908790702,469.6573245659976,177.91156631307254,1878.020647568503,457.21434576596994,2335.234993334473,8082392368119.382,31522214698795.332,37228766991319.94,79600131301643.6,0.39600706912583267,0.4676973063052125,0.19578943749601632,0.999238330826319,0.2171007267042669,5861854744984.128,48,1,0.8594950946559333,1878.020647568503,0.884610886447817,0.8675000644306899,0.8563684531075597,0.847931047977869,0.8410650213157308,232.1056324335237,97.84340647978094,67.99095099370552,59.27435585895977
278.9273554839564,584.9139373477454,455.0909937562362,129.82294359150927,1862.149012274028,400.3082227648815,2262.45723503891,10580710786821.664,44265769190761.33,51507083271714.164,103071563828058.17,0.42946635858367843,0.4997215658592044,0.1769351555314578,0.9994275179848524,0.2054224412398869,8232298598416.289,48,1,0.8718799386539784,1862.149012274028,0.8948243331770007,0.879206646441681,0.8690332007045197,0.8613126524870214,0.855022860459669,218.72304113944438,86.22204416175178,53.60994570238324,41.75319176130214
326.16505278365867,533.1856500481924,434.99518207716665,98.19046797102577,1844.9964683171277,341.00304592469183,2185.9995142418197,13188456167680.51,58824821380672.375,67259601506163.086,126898871555280.16,0.46355669408019035,0.5300252136352781,0.15599410873746855,0.999563574447637,0.19608287697737897,10759694848236.03,48,1,0.8814911149954391,1844.9964683171277,0.9027343483145575,0.8882817719365308,0.8788605822666533,0.8717058469692537,0.8658730254902001,203.6219178448956,72.71611597103293,39.02002661100103,25.644985497762292
373.4027500833609,491.1375851930709,413.1836864637965,77.95389872927441,1832.1844461521957,294.89457823767657,2127.0790243898723,15922045109467.883,75319094490310.61,84879195200974.03,150759697878270.78,0.4995970113387078,0.5630098520727256,0.1386382804100396,0.9996581822995279,0.18758477942407692,13394880564448.432,48,1,0.8892262757790468,1832.1844461521957,0.9090930482178665,0.8955808336477348,0.88676906829674,0.8800742969683035,0.8746141317645886,189.2466461958097,60.862655900393584,28.53490931855243,16.250366822920864
420.64044738306325,455.9219918353074,391.49897344078636,64.42301839452102,1821.2281220933066,258.38072530538415,2079.6088473986906,18756562897457.465,93681616819842.17,104311361408762.47,174444344902985.62,0.5370286831134691,0.5979635594766545,0.12424486731174639,0.999723386936284,0.17981323073674174,16106209507622.771,48,1,0.89562399173392,1821.2281220933066,0.9143487122832954,0.9016154620603003,0.8933097097514894,0.8869977228281198,0.8818483517463951,175.87971242398459,50.926979576663285,21.045267688989902,10.528765615746368
467.87814468276554,426.17883867255745,370.79115578289475,55.38768288966266,1811.4685044271641,229.71550989038354,2041.1840143175477,21691923037068.555,113893205260511.72,125585412167086.22,197816833708586.34,0.5757508252725012,0.634857053430004,0.11254032379201585,0.9997694527574879,0.17272645495010475,18872765337483.113,48,1,0.901029137444614,1811.4685044271641,0.9187871457138652,0.9067125718029094,0.898835336414658,0.8928480063233741,0.8879626269682634,163.91354693522138,42.93110314409641,15.818997949634648,7.0518618614311155
515.1158419824677,400.09784015066384,351.4110591976492,48.68678095301465,1799.9774301490113,207.4058707436368,2007.383300892648,24684064636195.3,135733799902848.4,148529719814424.1,220790271889057.03,0.6147634981447556,0.6727185873889294,0.1033215084789273,0.9998046943505585,0.1661893974285823,21680330230830.996,48,1,0.9056739516019056,1799.9774301490113,0.9226002446546547,0.9110919700780873,0.9035835135159891,0.897875872280413,0.8932181574803839,153.23073863150353,36.70051329745649,12.35463164492032,5.119987169756466
562.3535392821701,376.37432976597506,333.45930934228835,42.91502042368674,1783.9144870634643,188.52560541777862,1972.440092481243,27674482966286.15,158844191368678.84,172706318095247.0,243310896975740.53,0.6528445431053443,0.7098174403280705,0.09557988916186635,0.9998337639895125,0.16024013059570733,24518978172822.668,48,1,0.9097212219021902,1783.9144870634643,0.9259222483605132,0.9149075619080301,0.9077207413367534,0.9022572104923149,0.8977983474133389,143.2994848482703,31.581895785329195,9.808922799990992,3.835301984188112
609.5912365818724,354.2542039287485,316.9135954464296,37.34060848231894,1761.4737969419689,170.8039214762837,1932.2777184182526,30607869273645.4,182800727136231.47,197558333516037.66,265347528583996.38,0.6889106075784138,0.7445267516539168,0.08839512035366348,0.9998565869835602,0.15493079299112772,27381608440746.24,48,1,0.913288849226358,1761.4737969419689,0.9288502455986017,0.918270726641966,0.9113675959416186,0.9061194838932899,0.9018361940563139,133.5952744292252,26.96613607603045,7.564334652007369,2.678176319020673
