galaxy,n,sigma_kpc,ups_disk,ups_bul,a0_kms2_per_kpc,r_t_kpc,q_best_kms2,v_extra_asym_kms,chi2,chi2_red,gbar_inner_kms2_per_kpc,vobs_outer_kms
CamB,9,2.0,0.5,0.7,3702.813097789641,0.73,111.33125094166726,10.551362515887096,31.312897184756395,3.9141121480945493,65.5678125,14.7
D512-2,4,2.0,0.5,0.7,3702.813097789641,1.92,1999.6314101092967,44.7172383998531,28.42568076978233,9.475226923260776,132.19546875,35.9
